,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.75,0.66,0.8,0.78,0.73,0.67,0.42,0.39,0.42,0.89,0.44,0.46,0.49,0.56,0.93,0.47
arcallians.csv,0.65,0.87,0.56,0.97,0.56,0.98,0.5,0.71,0.55,0.93,0.94,0.69,0.6,0.97,0.95,0.96
arianne.csv,0.53,0.57,0.52,0.79,0.55,0.86,0.7,0.38,0.41,0.56,0.56,0.44,0.71,0.62,0.84,0.5
aztec.csv,0.51,0.88,0.0,0.9,0.94,0.95,0.67,0.0,0.54,0.67,0.0,0.0,0.79,0.94,0.91,0.83
bl-toolkit.csv,0.49,0.53,0.46,0.62,0.48,0.47,0.48,0.35,0.38,0.43,0.38,0.36,0.43,0.47,0.54,0.46
clamav.csv,0.8,0.47,0.91,0.52,0.92,0.83,0.71,0.87,0.8,0.55,0.93,0.58,0.55,0.45,0.5,0.5
gnupdate.csv,0.96,0.68,0.91,0.97,0.67,0.93,0.47,0.92,0.43,0.75,0.9,0.97,0.84,0.74,0.91,0.71
les-indemodables.csv,0.41,0.44,0.43,0.45,0.37,0.39,0.42,0.4,0.43,0.47,0.42,0.38,0.46,0.41,0.41,0.6
mbse.csv,0.59,0.61,0.65,0.6,0.63,0.98,0.84,0.8,0.66,0.58,0.56,0.49,0.73,0.61,0.54,0.88
ns-3-dev-def-routing.csv,0.98,0.61,0.94,0.81,0.68,0.86,0.96,0.74,0.94,0.74,0.58,0.62,0.79,0.63,0.78,0.52
openxava.csv,0.44,0.73,0.8,0.69,0.92,0.49,0.94,0.68,0.74,0.5,0.96,0.64,0.46,0.72,0.62,0.59
phonon-vlc-mplayer.csv,0.57,0.55,0.47,0.9,0.91,0.96,0.68,0.98,0.42,0.88,0.77,0.94,0.58,0.68,0.79,0.61
qgis.csv,0.69,0.56,0.62,0.64,0.86,0.46,0.53,0.66,0.49,0.67,0.93,0.88,0.6,0.54,0.66,0.59
vars-redux.csv,0.88,0.96,0.88,0.97,0.88,0.97,0.39,0.88,0.51,0.5,0.95,0.61,0.83,0.88,0.94,0.75
xapian.csv,0.73,0.49,0.86,0.69,0.94,0.98,0.8,0.95,0.51,0.9,0.94,0.9,0.78,0.53,0.81,0.58
yafdotnet.csv,0.6,0.54,0.46,0.69,0.38,0.66,0.62,0.36,0.6,0.46,0.43,0.42,0.53,0.56,0.95,0.53
