,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.78,0.77,0.36,0.52,0.78,0.54,0.64,0.59,0.43,0.29,0.68,0.74,0.38,0.65,0.51,0.65
betoffice.csv,0.64,0.76,0.26,0.5,0.8,0.4,0.7,0.59,0.2,0.91,0.58,0.88,0.47,0.62,0.41,0.72
bnetd.csv,0.84,0.9,0.36,0.4,0.53,0.43,0.54,0.67,0.44,0.6,0.77,0.95,0.41,0.68,0.41,0.76
elvishrayrenderer.csv,0.67,0.7,0.1,0.51,0.84,0.59,0.2,0.04,0.29,0.88,0.52,0.65,0.36,0.56,0.55,0.76
emisview.csv,0.3,0.0,0.39,0.43,0.56,0.57,0.29,0.25,0.51,0.0,0.41,0.53,0.28,0.24,0.47,0.06
findbugs.csv,0.77,0.81,0.36,0.37,0.75,0.15,0.77,0.65,0.44,0.32,0.61,0.34,0.58,0.63,0.32,0.61
hazelcast.csv,0.78,0.73,0.48,0.48,0.97,0.47,0.64,0.57,0.42,0.6,0.57,0.86,0.46,0.71,0.55,0.59
jitterbit.csv,0.84,0.92,0.31,0.54,0.86,0.39,0.47,0.16,0.61,0.33,0.67,0.55,0.6,0.65,0.44,0.66
jppf-project.csv,0.6,0.57,0.28,0.25,0.77,0.26,0.68,0.63,0.29,0.69,0.4,0.84,0.49,0.5,0.38,0.5
megasquirtavr.csv,0.86,0.9,0.56,0.43,0.91,0.46,0.76,0.59,0.43,0.94,0.69,0.91,0.55,0.77,0.46,0.67
stajistics.csv,0.71,0.58,0.0,0.48,0.84,0.47,0.23,0.42,0.28,0.92,0.65,0.88,0.51,0.74,0.63,0.74
trackit.csv,0.4,0.06,0.14,0.27,0.33,0.32,0.63,0.12,0.26,0.72,0.39,0.14,0.27,0.48,0.16,0.22
tweetsharp.csv,0.65,0.28,0.3,0.49,0.67,0.39,0.69,0.21,0.39,0.59,0.63,0.21,0.54,0.82,0.38,0.33
wxlua.csv,0.42,0.78,0.28,0.44,0.31,0.2,0.51,0.0,0.39,0.94,0.66,0.58,0.39,0.84,0.23,0.62
x4x.csv,0.81,0.86,0.4,0.34,0.67,0.36,0.69,0.6,0.37,0.67,0.62,0.75,0.47,0.76,0.31,0.71
xharbour.csv,0.8,0.86,0.41,0.57,0.8,0.44,0.8,0.52,0.42,0.82,0.6,0.55,0.57,0.78,0.49,0.69
