,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.21,0.52,0.48,0.13,0.55,0.57,0.52,0.41,0.66,0.64,0.3
google-gears.csv,0.5,0.62,0.21,0.55,0.66,0.58,0.65,0.71,0.57,0.44,0.67
grafx2.csv,0.32,0.78,0.34,0.26,0.66,0.71,0.55,0.42,0.54,0.38,0.39
kmess.csv,0.18,0.09,0.42,0.02,0.51,0.19,0.67,0.06,0.52,0.37,0.23
megameknet.csv,0.47,0.38,0.48,0.49,0.53,0.69,0.57,0.62,0.56,0.54,0.69
minig.csv,0.0,0.3,0.31,0.67,0.17,0.69,0.09,0.13,0.12,0.72,0.34
ns-3.csv,0.68,0.13,0.65,0.42,0.28,0.59,0.51,0.36,0.12,0.41,0.69
omseek.csv,0.28,0.09,0.15,0.37,0.76,0.43,0.37,0.24,0.38,0.45,0.13
quickfast.csv,0.58,0.49,0.66,0.72,0.37,0.66,0.46,0.59,0.25,0.67,0.73
sylpheed-claws.csv,0.0,0.0,0.7,0.71,0.05,0.63,0.09,0.13,0.0,0.71,0.0
xamj.csv,0.44,0.56,0.65,0.58,0.4,0.3,0.59,0.56,0.4,0.68,0.75
