,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.18,0.47,0.43,0.11,0.52,0.52,0.47,0.36,0.67,0.61,0.26
google-gears.csv,0.53,0.67,0.96,0.74,0.79,0.81,0.76,0.73,0.57,0.39,0.66
grafx2.csv,0.28,0.77,0.3,0.22,0.76,0.74,0.55,0.38,0.51,0.33,0.34
kmess.csv,0.15,0.07,0.38,0.02,0.48,0.16,0.72,0.05,0.49,0.33,0.19
megameknet.csv,0.61,0.98,0.81,0.46,0.82,0.68,0.84,0.74,0.57,0.51,0.81
minig.csv,0.99,0.91,0.28,0.65,1.0,0.7,0.96,0.95,0.1,0.8,0.3
ns-3.csv,0.7,0.86,0.67,0.37,0.24,0.55,0.75,0.32,0.1,0.36,0.66
omseek.csv,0.24,0.07,0.12,0.33,0.76,0.38,0.32,0.2,0.33,0.4,0.11
quickfast.csv,0.81,0.86,0.74,0.78,0.88,0.8,0.85,0.74,0.21,0.67,0.72
sylpheed-claws.csv,0.99,1.0,0.7,0.85,1.0,0.88,0.98,0.99,1.0,0.8,1.0
xamj.csv,0.85,0.95,0.7,0.54,0.97,0.96,0.76,0.85,0.36,0.66,0.77
