,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.38,0.94,0.64,0.59,0.38,0.29,0.33,0.67,0.49,0.44,0.39,0.59,0.21,0.63
chrysalis.csv,0.92,0.62,0.82,0.77,0.71,0.0,1.0,0.74,0.3,0.44,0.89,0.21,1.0,0.93
etics.csv,0.92,0.58,0.0,0.59,0.43,0.71,0.67,0.62,0.64,0.44,0.92,0.1,0.57,0.44
flexpay.csv,0.23,0.81,0.18,0.73,0.76,0.43,0.33,0.95,0.92,0.88,0.19,0.01,0.57,0.63
ifmo-game-1.csv,0.0,0.03,0.27,0.14,0.0,0.86,0.0,0.02,0.1,0.0,0.03,0.09,0.0,0.0
jcl.csv,0.0,0.01,0.18,0.18,0.33,0.0,0.0,0.1,0.07,0.31,0.11,0.0,0.93,0.07
linuxsh.csv,0.69,0.22,1.0,0.41,0.62,0.29,0.67,0.4,0.48,0.88,0.78,0.82,0.43,0.41
mvdsv.csv,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
openmeetings.csv,0.31,0.32,0.27,1.0,0.19,0.43,0.33,0.38,0.2,0.19,0.19,0.54,0.43,0.3
plato.csv,0.62,0.77,0.0,0.59,0.76,0.86,0.0,1.0,0.69,0.94,0.81,0.09,0.43,0.7
projecteqemu.csv,0.31,0.27,0.45,0.55,0.1,0.43,1.0,0.12,0.55,0.12,0.97,0.67,0.64,0.26
scite-ru.csv,1.0,0.84,1.0,0.86,0.86,0.71,0.67,0.6,0.99,0.38,0.86,1.0,1.0,0.74
uclmda.csv,0.0,0.25,0.36,0.14,0.1,0.14,0.0,0.14,0.34,0.0,0.03,1.0,0.14,0.11
vrjuggler.csv,0.0,0.35,0.0,0.36,0.19,0.14,0.0,0.5,0.21,0.88,0.28,0.06,0.29,0.0
