,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.86,0.06,0.69,0.45,0.74,0.91,0.86,0.6,0.74,0.75,0.81,0.53,0.88,0.73
chrysalis.csv,0.79,0.75,0.68,0.5,0.59,1.0,0.67,0.79,0.73,0.74,0.68,0.93,0.93,0.07
etics.csv,0.08,0.79,1.0,0.75,0.63,0.5,0.38,0.46,0.6,0.73,0.63,0.96,0.88,0.79
flexpay.csv,0.97,0.87,0.82,0.95,1.03,0.82,0.76,1.0,0.08,0.74,0.99,0.99,0.63,0.97
ifmo-game-1.csv,1.0,0.98,0.74,0.94,1.0,0.14,1.0,0.98,0.9,1.0,0.97,0.91,1.02,1.0
jcl.csv,1.0,0.99,0.82,0.82,0.78,1.02,1.0,0.9,0.93,0.69,0.93,1.0,0.07,0.93
linuxsh.csv,0.37,0.86,0.0,0.62,0.79,0.84,0.53,0.78,0.66,0.57,0.58,0.38,0.61,0.67
mvdsv.csv,1.0,1.0,1.0,1.0,1.0,0.86,0.0,1.01,1.0,1.0,0.94,1.0,1.0,1.0
openmeetings.csv,0.7,0.69,0.73,0.0,0.84,0.6,0.68,0.8,0.81,0.82,0.82,0.49,0.61,0.71
plato.csv,0.92,0.88,1.0,1.03,0.73,0.84,1.0,0.0,0.75,0.87,0.89,1.13,0.85,0.91
projecteqemu.csv,0.7,0.73,0.58,0.47,0.9,0.61,0.4,0.89,0.59,0.89,0.03,0.6,0.62,0.74
scite-ru.csv,0.95,0.84,0.89,0.77,0.16,0.75,0.73,0.64,0.98,0.86,0.59,1.0,0.99,0.64
uclmda.csv,1.0,0.83,0.66,0.92,0.91,0.86,1.01,0.89,0.75,1.0,0.97,0.0,0.87,0.89
vrjuggler.csv,1.0,0.78,1.0,0.9,0.88,0.87,1.0,0.62,0.81,0.13,0.76,1.0,0.76,1.0
