,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.0,0.0,20.0,11.0,2.0,21.0,32.0,1.0,3.0,13.0,0.0,0.0,16.0,24.0
chrysalis.csv,0.0,0.0,3.0,23.0,6.0,83.0,9.0,0.0,5.0,3.0,0.0,1.0,5.0,0.0
etics.csv,0.0,12.0,65.0,28.0,1.0,5.0,3.0,0.0,2.0,5.0,0.0,2.0,7.0,36.0
flexpay.csv,0.0,0.0,1.0,43.0,9.0,5.0,15.0,0.0,0.0,12.0,0.0,0.0,9.0,36.0
ifmo-game-1.csv,54.0,6.0,3.0,32.0,72.0,0.0,68.0,0.0,0.0,74.0,0.0,0.0,115.0,160.0
jcl.csv,54.0,4.0,1.0,0.0,2.0,83.0,68.0,0.0,1.0,1.0,0.0,168.0,0.0,0.0
linuxsh.csv,0.0,4.0,0.0,7.0,1.0,28.0,26.0,1.0,1.0,10.0,0.0,1.0,8.0,13.0
mvdsv.csv,54.0,203.0,65.0,155.0,72.0,0.0,0.0,49.0,513.0,74.0,0.0,168.0,115.0,160.0
openmeetings.csv,2.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,13.0,5.0,0.0,0.0,0.0,1.0
plato.csv,0.0,0.0,65.0,45.0,8.0,5.0,68.0,0.0,2.0,13.0,0.0,2.0,6.0,42.0
projecteqemu.csv,3.0,2.0,3.0,6.0,0.0,4.0,7.0,0.0,5.0,2.0,0.0,1.0,4.0,2.0
scite-ru.csv,0.0,11.0,4.0,37.0,0.0,3.0,39.0,0.0,2.0,14.0,0.0,2.0,7.0,31.0
uclmda.csv,54.0,4.0,5.0,14.0,6.0,1.0,68.0,0.0,33.0,74.0,0.0,0.0,15.0,5.0
vrjuggler.csv,54.0,0.0,65.0,32.0,9.0,4.0,68.0,0.0,1.0,0.0,0.0,0.0,5.0,160.0
