,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.72,0.92,0.54,0.51,0.54,0.47,0.45,0.41,0.69,0.82,0.97,0.54
gamestone.csv,0.47,0.49,0.74,0.61,0.89,0.5,0.41,0.8,0.39,0.5,0.95,0.79
geochat.csv,0.75,0.46,0.88,0.81,0.71,0.94,0.54,0.8,0.7,0.64,0.89,0.66
igarden.csv,0.67,0.49,0.77,0.5,0.74,0.43,0.92,0.35,0.88,0.79,0.49,0.63
ingex.csv,0.81,0.74,0.69,0.47,0.62,0.7,0.94,0.6,0.55,0.48,0.53,0.78
lphant.csv,0.62,0.43,0.48,0.33,0.38,0.35,0.38,0.41,0.38,0.52,0.42,0.38
nabu-library.csv,0.79,0.51,0.97,0.96,0.53,0.34,0.0,0.88,0.75,0.86,0.57,0.97
nebuladevice.csv,0.48,0.9,0.67,0.54,0.72,0.93,0.96,0.86,0.53,0.71,0.59,0.83
owlapi.csv,0.91,0.95,0.57,0.8,0.52,0.46,0.75,0.45,0.89,0.59,0.62,0.67
pi-qmc.csv,0.5,0.46,0.43,0.38,0.45,0.44,0.38,0.38,0.35,0.52,0.54,0.38
trinitycore.csv,0.48,0.32,0.96,0.53,0.95,0.72,0.83,0.75,0.41,0.76,0.56,0.9
twostep.csv,0.53,0.33,0.47,0.34,0.55,0.35,0.45,0.34,0.4,0.5,0.42,0.39
