,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.57,0.88,0.79,0.45,0.62,0.55,0.57,0.85,0.75,0.69,0.93,0.69
gamestone.csv,0.2,0.71,0.76,0.71,0.95,0.97,0.65,0.91,0.59,0.91,0.97,0.78
geochat.csv,1.0,0.74,0.96,0.71,0.73,0.82,0.96,0.96,0.71,0.95,0.72,0.52
igarden.csv,0.69,0.48,0.76,0.43,0.92,0.71,0.83,0.83,0.75,0.6,0.58,0.74
ingex.csv,0.67,0.86,0.7,0.77,0.91,0.63,0.84,0.82,0.63,0.85,0.67,0.65
lphant.csv,0.38,0.72,0.75,0.75,0.52,0.6,0.76,0.44,0.64,0.45,0.55,0.61
nabu-library.csv,0.58,0.71,0.72,0.91,0.28,0.86,1.0,0.9,1.0,0.82,0.73,0.81
nebuladevice.csv,0.51,0.87,1.0,0.77,0.92,0.81,1.08,0.97,0.39,0.6,0.68,1.0
owlapi.csv,1.02,0.83,0.31,0.83,0.45,0.67,0.88,0.86,0.87,0.64,0.77,0.63
pi-qmc.csv,0.35,0.69,0.63,0.73,0.58,0.67,0.81,0.85,0.79,0.18,0.74,0.71
trinitycore.csv,0.57,0.68,1.02,0.77,0.87,0.83,0.92,0.86,0.56,0.78,0.5,0.77
twostep.csv,0.46,0.68,0.82,0.98,0.97,0.7,0.22,0.77,0.7,0.37,0.71,0.77
