,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.0,0.12,0.77,0.03,0.58,0.48,0.54,0.44,0.65,0.06
h2database.csv,0.59,0.0,0.1,0.14,0.06,0.22,0.15,0.16,0.0,0.16
hannosset.csv,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
jaql.csv,0.27,0.32,0.15,0.0,0.15,0.33,0.15,0.26,0.35,0.45
megameknet.csv,0.27,0.26,0.46,0.2,0.0,0.65,0.46,0.48,0.58,0.57
ngl.csv,0.51,0.43,0.31,0.28,0.26,0.29,0.62,0.0,0.37,0.57
qedo.csv,0.0,0.01,0.0,0.01,0.0,0.03,0.08,0.05,0.05,0.0
qmmp.csv,0.56,0.65,0.62,0.52,0.37,0.65,0.54,0.53,0.02,0.7
raven-monitoring.csv,0.44,0.49,0.0,0.5,0.25,0.49,0.69,0.68,0.89,0.19
v8.csv,0.41,0.44,0.27,0.37,0.18,0.97,0.08,1.0,0.97,0.33
