,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,0.35,0.7,0.37,0.05,0.07,0.58,0.96,0.55,0.64,0.75,0.58,0.09,0.33,0.1,0.89,0.41,0.19,0.31
bigdata.csv,0.44,0.65,0.37,0.03,0.0,0.41,0.91,0.65,0.56,0.91,0.69,0.38,0.37,0.07,0.9,0.45,0.32,0.32
chaperon.csv,0.32,0.51,0.27,0.0,0.44,0.24,0.88,0.65,0.5,0.62,0.0,0.2,0.35,0.1,0.86,0.36,0.28,0.26
e-bio-flow.csv,0.27,0.56,0.57,0.12,0.0,0.46,0.92,0.49,0.29,0.88,0.62,0.1,0.39,0.09,0.91,0.49,0.28,0.63
exist.csv,0.38,0.57,0.37,0.02,0.08,0.33,0.93,0.79,0.49,0.71,0.61,0.11,0.3,0.09,0.93,0.41,0.21,0.32
freedom-erp.csv,0.31,1.0,0.56,0.03,0.12,0.47,0.91,0.69,0.83,0.8,0.81,0.22,0.34,0.0,0.9,0.0,0.5,0.0
geotools.csv,0.36,0.57,0.34,0.03,0.1,0.29,1.0,0.6,0.52,0.72,0.66,0.25,0.44,0.08,0.9,0.39,0.21,0.44
jaxlib.csv,0.54,0.55,0.32,0.4,0.03,0.38,1.0,0.56,0.54,0.71,0.33,0.11,0.26,0.08,0.91,0.4,0.18,0.26
jppf-project.csv,0.39,0.57,0.48,0.02,0.05,0.27,0.99,0.51,0.51,0.69,0.62,0.12,0.28,0.05,0.86,0.42,0.12,0.33
matrex.csv,0.35,0.69,0.38,0.06,0.5,0.4,0.95,0.86,0.85,0.86,0.73,0.4,0.32,0.0,0.79,0.39,0.27,0.42
mediate.csv,0.71,0.67,0.35,0.07,0.0,0.31,0.88,0.61,0.42,0.79,0.55,0.23,0.29,0.13,0.91,0.57,0.32,0.38
nunit.csv,0.23,0.69,0.36,0.03,0.15,0.22,0.9,0.56,0.31,0.66,0.62,0.12,0.37,0.04,0.9,0.42,0.41,0.4
octet.csv,0.32,0.57,0.34,0.0,0.05,0.27,0.92,0.57,0.47,0.79,0.61,0.38,0.34,0.14,0.87,0.41,0.3,0.59
pokenetonline.csv,0.32,0.56,0.42,0.04,0.07,0.26,0.93,0.57,0.5,0.9,0.6,0.24,0.35,0.07,0.88,0.48,0.23,0.46
reaper3d.csv,0.5,1.0,0.38,0.0,0.08,0.36,0.79,0.64,0.49,0.78,0.62,0.1,0.22,0.12,0.87,0.46,0.16,0.28
simplewebservices.csv,0.35,0.55,0.37,0.04,0.13,0.24,0.92,0.65,0.45,0.72,0.58,0.19,0.33,0.07,0.88,0.6,0.26,0.39
stajistics.csv,0.32,0.58,0.41,0.04,0.12,0.31,0.91,0.57,0.56,0.71,0.58,0.19,0.39,0.08,0.89,0.43,0.21,0.45
swtfox.csv,0.6,0.49,0.45,0.0,0.06,0.23,0.9,0.55,0.43,0.74,0.6,0.16,0.24,0.04,0.88,0.44,0.24,0.34
