,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.51,0.66,0.47,0.0,0.5,0.61,0.1,0.62,0.0,0.36,0.35,0.6,0.74
bibletime.csv,0.39,0.65,0.58,0.7,0.62,0.56,0.64,0.52,0.7,0.68,0.65,0.49,0.7
boost.csv,0.72,0.55,0.62,0.71,0.42,0.54,0.67,0.69,0.53,0.68,0.7,0.56,0.69
codepurge.csv,0.51,0.62,0.44,0.67,0.52,0.6,0.32,0.38,0.67,0.55,0.4,0.69,0.43
etics.csv,0.84,0.4,0.56,0.69,0.18,0.63,0.43,0.44,0.53,0.73,0.22,0.33,0.66
gusanos.csv,0.73,0.65,0.61,0.61,0.64,0.48,0.65,0.49,0.85,0.53,0.62,0.61,0.71
kvs.csv,0.56,0.46,0.17,0.36,0.72,0.42,0.11,0.47,0.39,0.57,0.63,0.05,0.27
mcore3d.csv,0.0,0.39,0.68,0.57,0.55,0.62,0.51,0.18,0.47,0.6,0.68,0.59,0.48
modellus.csv,0.51,0.39,0.57,0.71,0.12,0.58,0.78,0.6,0.64,0.35,0.49,0.58,0.69
monetdb.csv,0.1,0.37,0.6,0.33,0.0,0.67,0.6,0.39,0.36,0.53,0.44,0.52,0.24
projecteqemu.csv,0.67,0.42,0.49,0.73,0.12,0.54,0.38,0.37,0.5,0.75,0.45,0.33,0.57
pydev.csv,0.76,0.51,0.44,0.43,0.56,0.44,0.31,0.3,0.29,0.61,0.68,0.29,0.61
xbplayer.csv,0.43,0.49,0.48,0.69,0.18,0.59,0.47,0.74,0.48,0.6,0.63,0.6,0.55
