,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.46,0.66,0.54,0.0,0.32,0.53,0.15,0.58,0.0,0.46,0.35,0.29,0.85
bibletime.csv,0.39,0.63,0.74,0.58,0.36,0.46,0.65,0.47,0.79,0.63,0.53,0.27,0.79
boost.csv,0.49,0.57,0.7,0.62,0.26,0.47,0.68,0.62,0.62,0.65,0.57,0.3,0.79
codepurge.csv,0.5,0.6,0.53,0.55,0.33,0.47,0.39,0.4,0.73,0.54,0.41,0.44,0.55
etics.csv,0.69,0.48,0.63,0.58,0.2,0.53,0.52,0.46,0.62,0.69,0.24,0.24,0.75
gusanos.csv,0.5,0.64,0.68,0.52,0.42,0.52,0.64,0.5,0.89,0.5,0.5,0.28,0.83
kvs.csv,0.42,0.49,0.24,0.3,0.58,0.36,0.15,0.44,0.47,0.54,0.51,0.07,0.37
mcore3d.csv,0.0,0.46,0.74,0.49,0.32,0.55,0.59,0.23,0.57,0.55,0.55,0.29,0.59
modellus.csv,0.5,0.46,0.64,0.56,0.15,0.54,0.78,0.52,0.72,0.38,0.43,0.25,0.8
monetdb.csv,0.13,0.43,0.66,0.36,0.0,0.59,0.63,0.37,0.47,0.52,0.35,0.26,0.32
projecteqemu.csv,0.47,0.5,0.58,0.57,0.17,0.5,0.45,0.41,0.59,0.72,0.47,0.26,0.67
pydev.csv,0.57,0.55,0.53,0.43,0.32,0.43,0.39,0.34,0.38,0.58,0.61,0.24,0.72
xbplayer.csv,0.43,0.51,0.57,0.59,0.2,0.57,0.53,0.63,0.59,0.55,0.51,0.28,0.65
