,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.38,0.09,0.05,0.32,0.22,0.0,0.03,0.18,0.17,0.12
h2database.csv,0.35,0.39,0.22,0.62,0.47,0.16,0.25,0.53,0.38,0.04
hannosset.csv,0.05,0.19,0.2,0.3,0.23,0.36,0.56,0.29,0.26,0.04
jaql.csv,0.31,0.3,0.37,0.64,0.48,0.19,0.5,0.52,0.19,0.07
megameknet.csv,0.24,0.2,0.58,0.57,0.54,0.1,0.86,0.57,0.5,0.16
ngl.csv,0.21,0.25,0.5,0.53,0.45,0.17,0.81,0.67,0.71,0.16
qedo.csv,0.1,0.02,0.27,0.13,0.13,0.0,0.33,0.18,0.49,0.36
qmmp.csv,0.23,0.26,0.5,0.51,0.43,0.21,0.72,0.63,0.71,0.11
raven-monitoring.csv,0.21,0.18,0.63,0.42,0.41,0.06,0.52,0.39,0.38,0.3
v8.csv,0.06,0.25,0.53,0.42,0.32,0.22,0.91,0.54,0.35,0.13
