,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.69,0.07,0.04,0.24,0.16,0.0,0.01,0.12,0.12,0.11
h2database.csv,0.66,0.68,0.17,0.69,0.43,0.52,0.17,0.46,0.29,0.11
hannosset.csv,0.06,0.34,0.2,0.33,0.29,0.81,0.38,0.24,0.19,0.2
jaql.csv,0.68,0.69,0.33,0.66,0.47,0.37,0.38,0.49,0.13,0.17
megameknet.csv,0.62,0.49,0.61,0.63,0.71,0.4,0.65,0.54,0.31,0.59
ngl.csv,0.05,0.63,0.56,0.52,0.67,0.51,0.56,0.64,0.7,0.57
qedo.csv,0.21,0.02,0.2,0.11,0.16,0.0,0.23,0.13,0.45,0.77
qmmp.csv,0.47,0.54,0.57,0.57,0.48,0.73,0.45,0.61,0.69,0.43
raven-monitoring.csv,0.57,0.5,0.67,0.43,0.49,0.2,0.4,0.38,0.32,0.59
v8.csv,0.11,0.54,0.4,0.44,0.52,0.74,0.87,0.49,0.34,0.47
