,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.25,0.04,0.04,0.03,0.02,0.01,0.0,0.0,0.02,0.04
h2database.csv,0.26,0.25,0.1,0.37,0.06,0.41,0.08,0.2,0.08,0.3
hannosset.csv,0.08,0.27,0.38,0.46,0.25,0.25,0.69,0.29,0.05,0.65
jaql.csv,0.38,0.45,0.17,0.23,0.09,0.19,0.08,0.35,0.05,0.24
megameknet.csv,0.68,0.79,0.33,0.67,0.26,0.78,0.62,0.65,0.9,0.62
ngl.csv,0.99,0.63,0.48,0.79,0.41,0.83,0.69,0.3,0.6,0.51
qedo.csv,0.34,0.1,0.08,0.15,0.26,0.0,0.46,0.12,0.76,0.23
qmmp.csv,0.85,0.81,0.54,0.65,0.18,0.65,0.77,0.39,0.21,0.64
raven-monitoring.csv,0.56,0.64,0.29,0.32,0.22,0.39,0.31,0.55,0.84,0.19
v8.csv,0.26,0.39,0.87,0.79,0.73,0.49,0.0,0.73,0.58,0.77
