,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv,google-collections.csv
adonthell.csv,0.78,0.88,,0.29,0.32,0.8,0.16,0.36,0.16,1.0,0.64,0.6,0.7,1.0,0.27,1.0,0.2,0.0
avisynth2.csv,0.1,0.06,0.0,0.0,0.05,0.0,0.0,0.01,0.04,,0.02,0.02,0.09,0.0,0.0,0.0,0.0,0.0
coot.csv,0.78,0.06,0.42,0.68,0.98,0.93,0.53,0.86,0.84,0.29,0.8,0.71,0.04,0.68,,0.7,0.9,1.0
dsworkbench.csv,0.75,,0.83,0.68,0.8,0.89,0.81,0.65,0.64,0.92,1.0,0.81,0.61,0.95,0.84,0.93,0.8,0.5
forester-atv.csv,,0.44,0.0,0.14,0.02,0.01,0.12,0.14,0.04,0.02,0.0,0.15,0.02,0.0,0.05,0.0,0.1,0.0
freelords.csv,0.92,1.0,1.0,,0.88,1.0,1.0,0.87,1.0,1.0,1.0,0.91,0.96,1.0,1.0,1.0,0.9,1.0
gabel.csv,0.05,0.0,0.0,0.04,0.02,0.1,0.0,,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
geotools.csv,0.28,0.56,0.17,0.11,0.24,0.29,0.06,0.16,0.08,0.92,0.04,,0.87,0.1,0.08,0.23,0.2,0.0
gephex.csv,0.57,1.0,1.0,0.54,0.73,0.77,0.41,0.8,1.0,0.66,1.0,0.67,0.85,,0.97,1.0,0.6,0.0
google-collections.csv,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
jpaul.csv,0.25,0.44,0.08,0.07,,0.29,0.06,0.3,0.32,0.16,0.2,0.5,0.0,0.0,0.03,0.02,0.0,0.0
neodatis-odb.csv,0.65,0.06,0.1,0.32,0.85,,0.31,0.61,0.08,0.68,0.22,0.36,0.2,0.49,0.19,0.7,0.7,1.0
pokenetonline.csv,0.85,1.0,0.96,0.57,0.59,0.84,0.59,0.82,,1.0,0.82,0.76,0.61,0.95,0.86,0.95,0.6,0.0
rcp-company-uibindings.csv,0.8,1.0,0.77,0.82,0.54,0.83,0.62,0.59,0.36,0.69,0.62,0.67,0.52,0.83,0.76,0.74,,1.0
scenemonitor.csv,0.38,0.69,0.19,0.0,0.1,0.31,,0.07,0.04,0.11,0.11,0.09,0.63,0.39,0.05,0.07,0.2,0.0
servicestack.csv,0.22,0.19,0.0,0.0,0.02,0.01,0.03,0.01,0.0,0.0,0.02,0.03,,0.0,0.0,0.0,0.1,0.0
synecdoche.csv,0.38,0.38,0.19,0.61,0.34,0.5,0.66,0.43,0.2,0.13,0.84,0.36,0.54,0.44,0.05,,0.2,0.0
twostep.csv,0.7,0.81,0.15,0.29,0.2,0.66,0.41,0.5,0.6,0.87,,0.57,0.41,0.68,0.35,0.21,0.2,0.0
