,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.52,0.68,0.05,0.59,0.57,0.7,0.7,0.99,0.64,0.84,0.5,0.57,0.54,0.57,0.6
autowikibrowser.csv,0.41,0.6,0.53,0.51,0.76,0.52,0.67,0.66,0.54,0.61,0.85,0.45,0.02,0.62,0.74
biodwh.csv,0.61,0.75,0.83,0.63,0.87,0.76,0.91,0.88,0.86,1.0,0.71,0.75,0.76,0.0,0.86
cities3d.csv,0.59,0.96,0.9,0.11,0.67,0.58,0.64,0.98,0.62,0.96,0.84,0.79,0.78,0.84,0.69
dynalloy.csv,0.56,0.02,0.57,0.56,0.54,0.67,0.43,0.83,0.72,0.79,0.67,0.92,0.84,0.8,0.61
enzo.csv,0.67,0.8,0.87,0.8,0.69,0.77,1.02,0.3,0.92,0.02,0.84,0.81,0.81,0.83,0.62
genecys.csv,0.98,0.85,0.94,1.0,0.0,0.71,0.99,0.98,0.82,0.5,0.95,0.87,0.86,0.97,0.94
kmatplot.csv,0.07,0.83,0.79,0.7,0.75,0.77,1.0,0.86,0.86,0.98,0.7,0.56,0.75,0.76,0.68
modplug.csv,0.57,0.66,0.62,0.51,0.58,0.58,0.87,0.37,0.0,0.59,0.61,0.59,0.52,0.58,0.72
nabu-library.csv,0.85,0.64,0.76,0.47,0.7,0.56,0.79,0.0,0.57,0.6,0.84,0.68,0.73,0.71,0.92
natpad.csv,0.48,0.81,0.63,0.43,0.85,0.5,0.58,0.97,0.68,0.94,0.65,0.74,0.7,0.72,0.07
nebuladevice.csv,0.83,0.91,0.9,0.92,0.97,0.99,0.97,0.95,0.84,0.88,1.0,0.0,0.91,0.83,0.74
ossbuild.csv,0.5,0.83,0.76,0.62,0.66,0.67,0.13,1.02,0.78,0.93,0.32,0.94,0.62,0.86,0.82
xemeiah.csv,0.36,0.8,0.62,0.39,0.65,0.04,0.95,0.77,0.84,0.62,0.65,0.62,0.65,0.59,0.49
xined.csv,0.73,0.81,0.77,0.65,0.91,0.97,1.0,0.98,0.91,0.96,0.0,1.0,0.82,0.79,0.75
