,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,3.0,7.0,0.0,16.0,0.0,2.0,4.0,53.0,0.0,0.0,0.0,0.0,2.0,11.0,7.0
autowikibrowser.csv,4.0,0.0,6.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,11.0,0.0,0.0,6.0,0.0
biodwh.csv,0.0,2.0,8.0,41.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0
cities3d.csv,0.0,2.0,8.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,11.0,3.0,7.0,18.0,1.0
dynalloy.csv,2.0,0.0,5.0,21.0,0.0,3.0,4.0,2.0,1.0,5.0,7.0,14.0,12.0,10.0,0.0
enzo.csv,10.0,1.0,14.0,23.0,0.0,1.0,19.0,0.0,0.0,0.0,13.0,0.0,5.0,10.0,7.0
genecys.csv,31.0,0.0,6.0,53.0,0.0,1.0,3.0,30.0,0.0,0.0,0.0,3.0,8.0,17.0,0.0
kmatplot.csv,0.0,0.0,0.0,7.0,0.0,0.0,43.0,0.0,5.0,0.0,1.0,1.0,6.0,4.0,1.0
modplug.csv,0.0,1.0,0.0,36.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,0.0
nabu-library.csv,0.0,0.0,1.0,10.0,0.0,4.0,3.0,0.0,0.0,0.0,7.0,1.0,3.0,11.0,0.0
natpad.csv,0.0,2.0,8.0,21.0,0.0,1.0,5.0,33.0,0.0,0.0,0.0,3.0,15.0,6.0,0.0
nebuladevice.csv,3.0,0.0,1.0,2.0,0.0,4.0,9.0,1.0,0.0,1.0,52.0,0.0,2.0,1.0,0.0
ossbuild.csv,0.0,3.0,3.0,30.0,0.0,1.0,0.0,43.0,0.0,1.0,0.0,6.0,11.0,9.0,0.0
xemeiah.csv,0.0,6.0,0.0,14.0,0.0,0.0,15.0,0.0,0.0,2.0,1.0,7.0,1.0,7.0,1.0
xined.csv,2.0,2.0,8.0,2.0,0.0,1.0,250.0,2.0,0.0,0.0,0.0,85.0,0.0,6.0,0.0
