,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,59.0,0.0,109.0,1.0,0.0,1.0,345.0,3.0,51.0,85.0,117.0,196.0,62.0,139.0,0.0
chaperon.csv,0.0,2.0,5.0,0.0,0.0,4.0,0.0,49.0,1.0,0.0,45.0,0.0,9.0,3.0,4.0
co-ode-owl-plugins.csv,0.0,3.0,1.0,6.0,0.0,4.0,0.0,16.0,51.0,3.0,55.0,0.0,3.0,10.0,0.0
e-bio-flow.csv,0.0,3.0,0.0,1.0,0.0,2.0,4.0,1.0,51.0,2.0,24.0,0.0,5.0,2.0,4.0
free-evolution.csv,0.0,2.0,3.0,1.0,0.0,3.0,2.0,23.0,2.0,4.0,44.0,0.0,62.0,5.0,0.0
jaxlib.csv,0.0,10.0,4.0,0.0,0.0,4.0,0.0,2.0,28.0,0.0,31.0,0.0,14.0,3.0,2.0
jmonkeyengine.csv,0.0,9.0,14.0,0.0,0.0,4.0,0.0,3.0,17.0,0.0,117.0,0.0,11.0,13.0,7.0
jmule.csv,1.0,2.0,9.0,0.0,0.0,2.0,1.0,25.0,24.0,3.0,39.0,0.0,4.0,5.0,0.0
kaffeine.csv,0.0,3.0,1.0,0.0,2.0,10.0,3.0,22.0,2.0,0.0,29.0,0.0,8.0,2.0,1.0
nodal.csv,1.0,4.0,14.0,0.0,2.0,0.0,6.0,8.0,2.0,2.0,117.0,0.0,0.0,0.0,0.0
ogrehg.csv,0.0,0.0,3.0,1.0,0.0,1.0,0.0,15.0,51.0,3.0,117.0,0.0,5.0,1.0,0.0
onotoa.csv,0.0,3.0,4.0,0.0,0.0,1.0,1.0,16.0,51.0,1.0,39.0,0.0,13.0,12.0,52.0
papertoolkit.csv,0.0,0.0,0.0,2.0,0.0,4.0,0.0,14.0,51.0,1.0,117.0,0.0,1.0,0.0,3.0
