,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,1.0,0.37,1.01,0.83,0.94,0.94,1.0,0.52,1.0,1.0,1.01,1.0,1.01,1.0,0.92
chaperon.csv,0.5,0.67,0.99,0.68,0.8,0.86,0.66,1.11,0.08,0.61,0.46,0.51,0.79,0.93,0.72
co-ode-owl-plugins.csv,0.68,0.78,0.41,0.85,0.72,0.73,0.66,0.52,1.16,0.77,0.62,0.64,0.69,0.76,0.83
e-bio-flow.csv,0.84,0.56,0.89,0.67,0.79,0.43,0.75,0.52,1.07,0.81,0.28,0.61,0.67,0.74,0.85
free-evolution.csv,0.6,0.71,0.95,0.91,0.78,0.67,0.66,0.96,0.53,0.45,0.56,0.63,1.07,0.52,0.57
jaxlib.csv,0.88,0.84,0.37,0.89,0.72,0.83,0.7,0.06,0.88,0.8,0.32,0.57,0.8,0.58,0.92
jmonkeyengine.csv,0.91,0.96,0.88,0.54,0.72,0.84,0.67,0.51,0.83,0.86,1.07,1.01,0.45,0.91,0.87
jmule.csv,0.7,0.63,0.91,0.83,0.88,0.62,0.59,0.96,1.03,0.67,0.51,0.51,0.56,0.63,0.19
kaffeine.csv,0.2,0.58,0.8,0.6,0.97,0.69,0.77,0.94,0.58,0.72,0.43,0.1,0.69,0.68,0.56
nodal.csv,0.98,0.87,0.96,0.77,0.65,0.65,0.79,0.69,0.77,0.44,1.01,0.79,0.67,0.95,0.67
ogrehg.csv,0.8,0.56,0.52,0.69,0.72,0.77,0.44,0.8,1.06,0.92,1.1,1.11,0.43,0.66,0.89
onotoa.csv,0.78,0.95,0.35,0.74,0.58,0.77,0.82,0.6,1.13,0.81,0.38,1.16,0.72,0.69,1.0
papertoolkit.csv,0.63,0.68,0.7,0.9,0.82,0.92,0.73,0.78,1.0,0.88,1.11,0.81,0.17,0.91,0.73
