,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.74,0.75,0.31,0.74,0.62,0.83,0.53,0.9,0.84,0.06,0.65
biopax.csv,0.73,0.69,0.26,0.77,0.64,0.78,0.55,0.92,0.88,0.05,0.59
crux-framework.csv,0.29,0.39,0.11,0.15,0.52,0.32,0.11,0.31,0.13,0.35,0.11
kml.csv,0.72,0.68,0.26,0.79,0.78,0.77,0.55,0.9,0.88,0.05,0.64
les-indemodables.csv,0.66,0.57,0.3,0.7,0.72,0.69,0.63,0.44,0.54,0.07,0.6
metacosm.csv,0.63,0.51,0.29,0.6,0.63,0.61,0.58,0.86,0.71,0.0,0.72
moviesandbox.csv,0.7,0.44,0.17,0.72,0.29,0.77,0.56,0.86,0.84,0.06,0.62
sigil.csv,0.73,0.36,0.28,0.75,0.11,0.84,0.57,0.8,0.82,0.08,0.66
unflobtactical.csv,0.77,0.59,0.23,0.76,0.1,0.84,0.54,0.85,0.83,0.06,0.53
xtreemfs.csv,0.74,0.7,0.31,0.77,0.72,0.82,0.55,0.91,0.75,0.08,0.63
yale.csv,0.38,0.47,0.33,0.6,0.65,0.57,0.34,0.42,0.54,0.0,0.44
