,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.42,0.61,0.62,0.4,0.55,0.46,0.5,0.37,0.43,0.43,0.39
biopax.csv,0.39,0.51,0.41,0.4,0.33,0.44,0.48,0.3,0.55,0.42,0.41
crux-framework.csv,0.94,0.91,0.99,0.8,0.43,0.95,0.95,0.98,0.88,0.93,0.88
kml.csv,0.38,0.48,0.42,0.39,0.45,0.43,0.48,0.31,0.42,0.42,0.41
les-indemodables.csv,0.39,0.42,0.42,0.39,0.33,0.39,0.54,0.56,0.55,0.36,0.43
metacosm.csv,0.39,0.42,0.41,0.44,0.48,0.47,0.47,0.36,0.54,0.71,0.46
moviesandbox.csv,0.4,0.8,0.98,0.42,0.92,0.51,0.51,0.39,0.6,0.66,0.46
sigil.csv,0.39,0.83,0.78,0.38,0.5,0.46,0.5,0.46,0.61,0.51,0.45
unflobtactical.csv,0.39,0.74,0.55,0.39,0.67,0.46,0.49,0.38,0.55,0.51,0.52
xtreemfs.csv,0.42,0.49,0.48,0.41,0.38,0.46,0.51,0.37,0.53,0.42,0.42
yale.csv,0.87,0.89,0.64,0.48,0.36,0.68,0.79,0.61,0.42,0.61,0.5
