,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.53,0.42,0.54,0.67,0.33,0.24,0.44,0.61,0.63,0.43,0.6,0.52,0.69,1.0,0.41
bl-toolkit.csv,0.71,0.42,0.79,0.59,0.32,0.68,1.0,0.39,0.76,0.86,0.88,0.86,0.43,1.0,1.0
bochs.csv,0.59,0.88,0.98,0.91,0.72,0.92,0.15,0.79,0.91,0.95,0.88,0.69,0.7,0.8,0.77
emeraldemu.csv,0.35,0.31,0.56,0.67,0.56,0.16,0.19,0.5,0.7,0.33,0.64,0.55,0.57,0.4,0.14
fbmanager.csv,0.71,0.99,0.73,1.0,1.0,0.76,0.67,0.86,1.0,0.81,0.26,0.31,0.98,0.8,0.32
modellus.csv,0.15,0.33,0.51,0.61,0.42,0.58,0.59,0.43,0.72,0.48,0.4,0.77,0.74,1.0,0.64
openmalaria.csv,0.74,0.65,0.76,0.95,0.43,0.8,0.74,0.8,0.75,0.62,0.71,0.91,0.78,1.0,0.68
pi-qmc.csv,0.71,0.51,0.68,0.39,0.34,0.64,1.0,0.91,0.54,0.57,0.4,0.63,0.7,0.6,0.82
plplot.csv,0.24,0.55,0.29,0.49,0.31,0.42,0.81,0.3,0.77,0.67,0.52,0.67,0.77,0.4,0.41
powerfolder.csv,0.59,0.32,0.52,0.68,0.22,0.2,0.33,0.76,0.66,0.19,0.57,0.65,0.66,1.0,0.73
psycle.csv,0.65,0.63,0.77,0.88,0.74,0.78,0.85,0.88,0.92,0.81,0.88,0.79,0.93,0.8,0.64
qgis.csv,0.56,0.54,0.61,0.69,0.85,0.28,0.0,0.72,0.62,0.71,0.69,0.31,0.77,0.6,0.5
sbml.csv,0.68,0.67,0.74,0.89,0.45,0.72,0.96,0.71,0.92,0.62,0.79,0.84,0.69,0.8,0.86
unimrcp.csv,0.32,0.55,0.38,0.45,0.22,0.16,0.81,0.39,0.61,0.29,0.48,0.79,0.64,0.2,0.55
wow-qrsk.csv,0.06,0.24,0.62,0.65,0.62,0.86,0.3,0.08,0.82,0.43,0.19,0.47,0.1,0.8,0.0
