,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.51,0.59,0.49,0.39,0.68,0.82,0.57,0.5,0.4,0.59,0.42,0.54,0.43,0.22,0.59
bl-toolkit.csv,0.95,0.91,0.96,0.94,0.81,0.39,1.0,1.01,1.0,0.98,0.95,0.73,0.78,0.54,1.0
bochs.csv,0.71,0.86,0.99,0.66,0.46,0.82,0.85,0.6,0.54,0.95,0.79,0.58,0.57,0.87,0.42
emeraldemu.csv,0.66,0.7,0.5,0.37,0.53,0.86,0.82,0.51,0.36,0.67,0.55,0.62,0.47,0.99,0.87
fbmanager.csv,0.34,1.0,0.6,1.0,1.0,0.72,0.66,0.76,1.0,0.64,0.76,0.69,0.99,0.64,0.69
modellus.csv,0.86,0.68,0.54,0.59,0.59,0.46,0.47,0.59,0.43,0.58,0.62,0.31,0.46,0.68,0.42
openmalaria.csv,0.52,0.44,0.61,0.77,0.62,0.67,0.42,0.42,0.39,0.52,0.36,0.68,0.58,0.78,0.36
pi-qmc.csv,0.83,0.6,0.74,0.83,0.75,0.77,0.93,0.76,0.62,0.52,0.68,0.49,0.61,0.55,0.25
plplot.csv,0.77,0.58,0.75,0.62,0.71,0.61,0.62,0.7,0.64,0.36,0.62,0.62,0.58,1.03,0.87
powerfolder.csv,0.57,0.69,0.59,0.49,0.79,0.81,0.68,0.42,0.42,0.82,0.46,0.81,0.53,0.09,0.3
psycle.csv,0.5,0.46,0.74,0.61,0.47,0.55,0.61,0.7,0.62,0.58,0.5,0.46,0.78,0.7,0.41
qgis.csv,0.57,0.54,0.47,0.42,0.69,0.81,1.0,0.49,0.4,0.61,0.66,0.72,0.59,0.75,0.53
sbml.csv,0.48,0.56,0.69,0.76,0.61,0.53,0.74,0.36,0.78,0.61,0.63,0.69,0.5,0.85,0.8
unimrcp.csv,0.68,0.52,0.65,0.57,0.79,0.85,0.39,0.61,0.5,0.72,0.53,0.49,0.53,0.87,0.47
wow-qrsk.csv,0.94,0.76,0.56,0.46,0.46,0.48,0.71,0.92,0.3,0.58,0.82,0.56,0.9,0.26,1.0
