,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv
abbot.csv,0.64,0.68,1.06,0.8,1.0,0.84,0.72,0.42
jicarilla.csv,0.95,1.0,0.23,1.0,1.0,1.0,0.97,0.71
optalgtoolkit.csv,0.59,0.66,0.95,0.6,0.69,0.53,0.7,0.84
ossim.csv,0.83,0.81,0.85,0.34,1.0,0.71,0.73,0.94
projectts.csv,0.51,0.73,0.97,0.59,0.74,0.81,0.55,0.98
sabbu.csv,0.37,0.7,0.93,0.6,0.57,0.85,0.72,0.89
vxl.csv,0.56,0.66,1.01,0.58,0.86,0.84,0.71,0.91
zact.csv,0.72,0.96,1.01,0.69,0.31,1.0,0.78,0.89
