,id,expected,max_bell,avge,median,bellwether,size
54,2,1,2,1.5,0.94,logicmail.csv,2
50,3,2,7,4.14,1.0,benojt.csv,7
48,4,6,15,6.71,0.96,libopenmetaverse.csv,17
56,5,3,7,3.7,0.8400000000000001,geotools.csv,10
22,6,6,18,6.78,1.0,google-collections.csv,18
17,7,5,15,5.25,0.81,jsidplay2.csv,16
27,8,4,9,2.91,0.83,ngl.csv,11
25,10,0,1,1.0,0.91,atunes.csv,1
16,11,1,2,1.33,0.71,gpsmid.csv,3
55,13,1,1,1.0,0.65,amanda.csv,3
57,14,5,16,6.69,1.0,werx.csv,17
49,15,5,13,5.71,0.965,gebr.csv,14
19,16,3,7,2.88,1.0,enlightenment.csv,8
24,17,1,1,1.0,0.66,voms.csv,2
14,18,1,2,1.67,0.74,yale.csv,3
26,19,3,7,4.0,0.815,jmule.csv,8
13,20,5,14,6.07,0.965,biopax.csv,14
28,21,3,8,3.75,0.95,arianne.csv,8
58,22,4,7,6.09,0.83,bl-toolkit.csv,11
15,27,2,6,2.14,0.73,bochs.csv,7
23,28,5,13,5.2,0.93,uface.csv,15
18,29,5,15,5.31,0.97,somap.csv,16
38,30,6,17,10.11,0.93,google-caja.csv,19
33,31,2,3,1.8,0.7,sqlpower-library.csv,5
12,33,3,6,3.4,0.845,pnotepad.csv,10
11,34,2,6,2.86,0.84,jguard.csv,7
6,35,1,3,2.75,0.8049999999999999,jajuk.csv,4
32,36,5,14,7.25,0.865,mpgravity.csv,16
39,37,6,17,8.11,0.88,maya-work-in-progress.csv,18
31,38,2,5,2.57,0.93,libtorrent.csv,7
40,39,5,15,6.44,0.97,zengine.csv,16
52,40,2,6,2.43,0.72,apolloplayer.csv,8
46,41,5,14,8.53,1.0,hydrogen.csv,15
20,42,2,3,1.5,0.7,electric-core.csv,6
30,43,4,13,5.69,0.94,sauerbraten.csv,13
29,44,7,19,8.75,0.875,modplug.csv,20
21,45,1,4,2.5,1.0,pcgen.csv,4
45,46,2,3,2.0,0.66,jparsec.csv,5
53,47,7,20,10.7,0.97,sylpheed-claws.csv,20
47,48,3,7,2.56,0.78,toped.csv,9
51,49,2,7,3.43,0.8,mscore.csv,7
3,50,4,11,3.5,0.915,sumatrapdf.csv,12
41,52,4,11,4.82,0.91,ivataopenportal.csv,11
37,53,5,16,7.38,0.92,fontforge.csv,17
36,54,1,3,2.33,0.88,rectracker.csv,3
42,55,6,16,8.72,1.0,nh3d.csv,20
7,56,3,7,2.89,0.89,abbot.csv,9
5,57,6,18,7.72,1.0,buddata-ebxml-registry.csv,18
8,58,5,16,8.13,1.0,sevenupdate.csv,17
1,59,1,2,2.0,0.96,glelite.csv,2
10,60,5,12,6.0,0.86,vdsf.csv,14
0,61,3,9,3.5,0.92,barracudamvc.csv,10
35,62,2,4,1.83,0.765,nug.csv,6
43,63,6,17,7.83,0.9,kolmafia.csv,18
44,64,4,10,4.0,0.84,rebecca-aiml.csv,12
34,65,3,9,3.3,0.835,zemljanka.csv,10
2,66,3,9,3.33,0.98,soar.csv,9
9,67,0,1,1.0,0.8,jrdf.csv,1
4,68,3,10,5.8,1.0,wpdev.csv,10
