,id,expected,max_bell,avge,median,bellwether,size
54,2,0,1,1.0,0.56,mclient-mume.csv,2
50,3,1,4,2.0,0.66,chrysalis.csv,7
48,4,3,4,1.94,0.62,beast-mcmc.csv,17
56,5,2,4,1.9,0.635,springside.csv,10
22,6,3,3,2.33,0.595,javaprofiler.csv,18
17,7,3,5,2.81,0.5700000000000001,jmoney.csv,16
27,8,2,2,1.27,0.57,ngl.csv,11
25,10,0,1,1.0,0.87,atunes.csv,1
16,11,0,2,1.33,0.67,gpsmid.csv,3
55,13,0,1,1.0,0.63,amanda.csv,3
57,14,3,1,1.69,0.58,loki-lib.csv,17
49,15,2,5,1.5,0.62,google-gears.csv,14
19,16,1,3,1.0,0.625,psycle.csv,8
24,17,0,1,1.0,0.67,voms.csv,2
14,18,0,1,0.67,0.65,lmms.csv,3
26,19,1,7,3.12,0.77,jmule.csv,8
13,20,2,3,1.86,0.595,vars-redux.csv,14
28,21,1,1,1.5,0.595,phonon-vlc-mplayer.csv,8
58,22,2,7,3.27,0.68,kml.csv,11
15,27,1,1,1.14,0.57,bochs.csv,7
23,28,2,4,2.2,0.57,pydev.csv,15
18,29,3,3,1.56,0.58,kdenlive.csv,16
38,30,3,11,3.5,0.68,itext.csv,19
33,31,1,2,1.0,0.63,smartgwt.csv,5
12,33,2,5,1.8,0.65,heekscad.csv,10
11,34,1,1,0.86,0.53,mob-sen-plat.csv,7
6,35,1,3,1.5,0.7150000000000001,jajuk.csv,4
32,36,3,7,3.0,0.625,gss.csv,16
39,37,3,10,4.89,0.675,jahshakafx.csv,18
31,38,1,1,1.43,0.6,mcmc-jags.csv,7
40,39,3,5,2.19,0.615,owlib.csv,16
52,40,1,3,1.43,0.585,apolloplayer.csv,8
46,41,2,8,3.27,0.66,autowikibrowser.csv,15
20,42,1,2,1.0,0.63,adaptagrams.csv,6
30,43,2,4,2.08,0.6,nativeclient.csv,13
29,44,3,8,3.75,0.645,reactos-mirror.csv,20
21,45,1,3,1.5,0.665,selenium.csv,4
45,46,1,1,1.0,0.59,webdriver.csv,5
53,47,3,6,4.15,0.635,elmo.csv,20
47,48,1,1,1.22,0.55,elateportal.csv,9
51,49,1,4,2.71,0.69,openmalaria.csv,7
3,50,2,4,2.17,0.5700000000000001,sandiaportals.csv,12
41,52,2,0,0.91,0.56,openwbem.csv,11
37,53,3,1,1.75,0.58,glas.csv,17
36,54,0,1,1.0,0.63,graphmak.csv,3
42,55,3,5,3.5,0.6,wgs-assembler.csv,20
7,56,1,2,1.11,0.56,sabbu.csv,9
5,57,3,7,3.0,0.625,gretl.csv,18
8,58,2,5,2.53,0.58,encog-cs.csv,17
1,59,0,1,1.5,0.7,glelite.csv,2
10,60,2,3,1.5,0.53,gnome-jabber.csv,14
0,61,2,2,1.1,0.55,irplus.csv,10
35,62,1,2,1.17,0.565,codeblocks.csv,6
43,63,3,8,2.72,0.64,xharbour.csv,18
44,64,2,4,2.0,0.59,opensim4opencog.csv,12
34,65,2,3,1.8,0.575,tzod.csv,10
2,66,1,3,1.44,0.54,mesa3d.csv,9
9,67,0,1,1.0,0.81,jrdf.csv,1
4,68,2,4,1.7,0.615,unicase.csv,10
