,id,max_bell,avge,median,bellwether
0,1,7,5.43,0.29,jchassis.csv
1,9,2,1.5,0.375,emftriple.csv
2,12,9,7.5,0.47,empyrean.csv
3,26,5,3.8,0.64,cme.csv
4,32,17,12.94,0.44,xined.csv
5,51,16,10.76,0.92,jicarilla.csv
