,id,expected,max_bell,avge,median,bellwether,size
54,2,1,2,1.5,0.575,mclient-mume.csv,2
50,3,4,6,2.86,0.97,jam-daq.csv,7
48,4,11,15,5.88,0.93,sidekar.csv,17
56,5,6,7,4.5,0.73,mule.csv,10
22,6,11,17,7.83,1.0,servicestack.csv,18
17,7,10,16,8.12,0.8,jchassis.csv,16
27,8,7,9,5.09,0.74,hannosset.csv,11
25,10,1,1,1.0,0.25,atunes.csv,1
16,11,2,2,1.33,0.44,emftriple.csv,3
55,13,2,3,1.67,0.53,empyrean.csv,3
57,14,10,15,6.56,1.0,jgameai.csv,17
49,15,9,10,5.93,0.925,etherboot.csv,14
19,16,5,8,4.75,1.0,wxjs.csv,8
24,17,1,2,1.5,0.25,ifmo-game-1.csv,2
14,18,2,1,1.0,0.74,qpe.csv,3
26,19,5,8,4.88,0.64,massiv.csv,8
13,20,9,10,5.36,0.9450000000000001,wow-qrsk.csv,14
28,21,5,8,3.62,0.9299999999999999,cortex-vfx.csv,8
58,22,7,11,4.45,0.93,fm-classic.csv,11
15,27,4,6,3.71,0.63,encog-java.csv,7
23,28,9,15,8.6,0.72,cme.csv,15
18,29,10,14,6.88,0.935,jmri.csv,16
38,30,11,19,7.67,0.87,fbmanager.csv,19
33,31,3,4,3.2,0.61,poormans.csv,5
12,33,6,8,5.7,0.6699999999999999,levent.csv,10
11,34,4,7,3.29,0.75,bloodycore.csv,7
6,35,2,2,1.0,0.585,zorannt.csv,4
32,36,10,14,5.62,0.805,qtwin.csv,16
39,37,11,18,9.72,0.72,reaper-ecad.csv,18
31,38,4,6,3.43,0.64,sepgsql.csv,7
40,39,10,14,6.06,0.945,fluidium.csv,16
52,40,4,6,5.0,0.65,k3d.csv,8
46,41,9,15,6.07,1.0,xined.csv,15
20,42,4,5,3.5,0.52,badtrinitycore.csv,6
30,43,8,10,5.46,0.92,illumination.csv,13
29,44,12,20,8.2,0.765,genoviz.csv,20
21,45,2,4,2.25,0.9299999999999999,tolven.csv,4
45,46,3,4,2.8,0.61,kmess.csv,5
53,47,12,16,7.15,0.985,ktc.csv,20
47,48,6,9,4.44,0.75,mptvseries.csv,9
51,49,4,7,4.71,0.63,cities3d.csv,7
3,50,7,12,6.5,0.8049999999999999,lportal.csv,12
41,52,7,11,4.64,0.94,mvdsv.csv,11
37,53,10,15,6.19,0.94,chipster.csv,17
36,54,2,2,1.33,0.84,graphmak.csv,3
42,55,11,17,8.67,1.0,continuum-ide.csv,20
7,56,6,8,3.67,0.85,jicarilla.csv,9
5,57,11,17,7.56,0.965,vrjuggler.csv,18
8,58,9,15,6.73,1.0,rohxel.csv,17
1,59,1,1,1.0,0.435,jmol.csv,2
10,60,9,11,5.14,0.855,xbrlapi.csv,14
0,61,6,7,4.4,0.885,mevenide.csv,10
35,62,4,6,2.67,0.605,uclmda.csv,6
43,63,11,16,6.33,0.845,emisview.csv,18
44,64,7,12,6.25,0.7150000000000001,aubit4gl.csv,12
34,65,6,8,5.8,0.78,pfaedit.csv,10
2,66,6,7,3.44,0.95,nassp.csv,9
9,67,1,1,1.0,0.17,jrdf.csv,1
4,68,6,9,3.0,0.99,orc.csv,10
