,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.16,0.14,0.2,0.33,0.12,0.35,0.26,0.63,0.52,0.33
cities3d.csv,0.02,0.77,0.04,0.56,0.09,0.27,0.15,0.05,0.15,0.76
firebird.csv,0.21,0.51,0.3,0.49,0.09,0.5,0.3,0.84,0.67,0.29
hydrogen.csv,0.48,1.0,1.0,1.0,0.97,0.89,0.17,0.23,1.0,1.0
lphant.csv,0.6,0.49,0.59,0.41,0.43,0.65,0.36,0.3,0.27,0.53
open-ms.csv,0.38,0.37,0.66,0.39,0.03,0.71,0.11,0.44,0.12,0.35
qgo.csv,0.84,0.14,0.81,0.42,0.26,0.89,0.33,0.67,0.94,0.79
rhex.csv,0.26,0.51,0.33,0.26,0.22,0.42,0.15,0.19,0.0,0.37
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0
yield.csv,0.56,0.46,0.48,0.95,0.24,0.95,0.38,0.79,0.7,0.66
