,xmemcached.csv,httpcontentparser.csv,bdbbasic.csv,qse.csv,google-gears.csv
bdbbasic.csv,0.61,0.57,0.8,0.2,0.48
google-gears.csv,0.5,0.67,0.48,0.5,0.68
httpcontentparser.csv,0.53,0.76,0.0,0.24,0.37
qse.csv,0.58,0.72,0.0,0.8,0.36
xmemcached.csv,0.79,0.36,0.37,0.09,0.2
