,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.06,0.07,0.18,0.0,0.0,0.44,0.25,0.94,1.0,0.4
baadengine.csv,0.88,0.06,0.96,0.01,0.34,0.31,0.26,0.45,0.11,0.04,0.2,0.15,0.12,0.42,0.39,0.95,0.9,0.78
bibedt.csv,1.0,0.0,0.9,0.04,0.3,0.63,0.34,1.0,0.24,0.1,0.62,0.5,0.13,0.5,0.58,1.0,0.92,0.89
chaosrts.csv,0.77,0.09,0.96,0.02,0.32,0.31,0.3,0.48,0.1,0.05,0.18,0.26,0.11,0.43,0.43,0.95,0.91,0.81
dataobjectsdotnet.csv,0.7,0.07,0.97,0.02,0.41,0.32,0.31,0.39,0.13,0.0,0.26,0.15,0.14,0.6,0.39,0.0,0.9,0.76
exl.csv,0.74,0.09,0.98,0.01,0.28,0.47,0.23,0.27,0.16,0.0,0.26,0.1,0.13,0.44,0.4,1.0,0.88,0.83
gnome-jabber.csv,0.8,0.08,0.96,0.01,0.28,0.31,0.28,0.49,0.11,0.04,0.18,0.17,0.12,0.43,0.39,0.95,0.9,0.75
gogoego.csv,0.96,0.0,0.83,0.0,0.33,0.56,0.52,1.0,0.29,0.0,0.6,0.75,0.0,0.61,0.0,1.0,0.97,1.0
httpcontentparser.csv,0.76,0.14,0.97,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.16,0.17,0.48,0.0,0.0,0.91,0.0
impala.csv,0.0,0.0,0.0,0.0,0.28,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.75,0.4,0.33,1.0,0.67,0.5
jaxlib.csv,0.86,0.0,1.0,0.0,0.3,0.64,0.25,0.36,0.17,1.0,0.36,0.15,0.11,0.48,0.47,1.0,0.9,0.88
jgameai.csv,0.67,0.09,1.0,0.0,0.6,0.31,0.24,0.62,0.09,0.11,0.2,0.31,0.13,0.3,1.0,0.94,1.0,0.75
loki-lib.csv,0.98,0.08,0.97,0.01,0.43,0.32,0.26,0.5,0.16,0.04,0.25,0.0,0.11,0.39,0.71,0.94,0.97,0.86
patterntesting.csv,0.75,0.06,0.98,0.01,0.31,0.37,0.24,0.7,0.11,0.04,0.21,0.13,0.09,0.42,0.41,0.94,0.89,0.77
snakeyaml.csv,0.77,0.0,0.89,0.03,0.3,0.49,0.4,1.0,0.19,0.06,0.33,0.86,0.04,0.53,0.0,1.0,0.91,0.96
werx.csv,0.75,0.07,0.98,0.01,0.29,0.31,0.24,0.39,0.11,0.04,0.2,0.13,0.12,0.44,0.39,0.95,0.88,0.76
zealos.csv,0.91,0.09,0.97,0.01,0.35,0.64,0.29,0.58,0.15,0.07,0.22,0.19,0.13,0.44,0.53,1.0,0.92,0.93
