,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.43,0.23,0.39,0.39,0.44,0.47,0.52,0.35,0.45,0.37,0.97,0.71
gmerlin.csv,0.56,0.43,0.23,0.0,0.47,0.0,0.33,0.49,0.0,0.93,0.0,0.94
google-gears.csv,0.36,0.58,0.32,0.49,0.89,0.77,0.45,0.41,0.53,0.37,0.63,0.97
gstreamer.csv,0.71,0.93,0.51,0.78,0.9,0.75,0.65,0.51,0.26,0.43,0.64,1.0
lportal.csv,0.01,0.01,0.01,0.0,0.02,0.18,0.08,0.0,0.22,0.02,0.51,0.06
metacosm.csv,0.12,0.65,0.36,0.15,0.21,0.59,0.33,0.11,0.19,0.37,0.41,0.19
mplayer-ce.csv,0.84,0.31,0.73,0.78,0.57,0.94,0.68,0.78,0.17,0.57,0.33,0.84
openmeetings.csv,0.23,0.19,0.15,0.39,0.25,0.36,0.35,0.24,0.28,0.54,0.66,0.35
qgis.csv,0.63,0.31,0.24,0.0,0.63,0.58,0.27,0.11,0.49,0.63,0.01,0.32
skia.csv,0.36,0.48,0.27,0.57,0.31,0.22,0.21,0.35,0.32,0.26,0.33,0.19
wxcrp.csv,0.28,0.92,0.39,0.6,0.88,0.84,0.67,0.41,0.71,0.57,0.73,0.94
yafdotnet.csv,0.41,0.5,0.38,0.28,0.26,0.56,0.33,0.3,0.17,0.41,0.33,0.77
