,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.1,0.09,0.14,0.21,0.15,0.92,0.0,0.07,0.0,0.06,0.05,0.25,0.16
badtrinity-zero.csv,0.15,0.24,0.96,0.21,0.79,0.58,0.36,0.13,0.33,0.68,0.89,0.64,0.72
bibletime.csv,0.76,0.79,0.76,0.83,0.81,0.83,0.73,0.79,0.67,1.0,0.16,0.62,0.89
critterding.csv,0.24,0.97,0.65,0.6,0.47,0.83,0.73,0.48,0.5,0.67,0.75,0.26,0.69
elateportal.csv,0.17,0.35,0.41,0.95,0.74,1.0,0.36,0.28,0.17,0.71,1.0,0.87,0.07
fmri-dmt.csv,0.15,0.09,0.06,0.17,0.02,0.08,0.09,0.18,0.83,0.11,0.05,0.04,0.0
ftm.csv,0.45,0.5,0.34,0.4,0.49,0.25,0.45,0.49,0.5,0.55,0.05,0.45,0.97
gusanos.csv,0.05,0.79,0.57,0.81,0.66,0.75,0.45,1.0,0.5,0.65,0.3,0.13,0.54
monetdb.csv,0.38,0.5,0.39,0.38,0.98,0.42,0.18,0.43,0.33,0.14,0.2,0.32,0.49
quarkplayer.csv,0.37,0.35,0.42,0.14,0.26,0.25,0.82,0.37,0.5,0.32,0.45,0.21,0.3
reactos-mirror.csv,0.92,0.62,0.75,0.76,0.66,0.25,0.91,0.72,0.83,0.68,0.45,0.75,0.79
sandiaportals.csv,0.66,0.76,0.81,0.95,0.83,1.0,0.73,0.84,0.33,0.94,1.0,1.0,0.95
xbplayer.csv,0.31,0.29,0.23,0.93,0.36,0.33,0.36,0.33,0.5,0.23,0.05,0.25,0.43
