,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.91,0.91,0.86,0.8,0.85,0.08,1.0,0.93,1.0,0.94,0.95,0.76,0.84
badtrinity-zero.csv,0.85,0.77,0.04,0.79,0.6,0.76,0.71,0.87,0.72,0.53,0.2,0.66,0.58
bibletime.csv,0.75,0.81,0.6,0.75,0.67,0.74,0.67,0.62,0.73,0.0,0.98,0.63,0.74
critterding.csv,0.78,0.03,0.64,0.73,0.54,0.79,0.6,0.71,0.73,0.6,0.71,0.74,0.58
elateportal.csv,0.84,0.73,0.75,0.83,0.61,0.58,0.76,0.74,0.88,0.58,0.0,0.84,0.94
fmri-dmt.csv,0.86,0.91,0.94,0.84,0.98,0.92,0.91,0.82,0.17,0.91,0.97,0.96,1.0
ftm.csv,0.63,0.54,0.67,0.64,0.53,0.77,0.58,0.61,0.59,0.48,0.95,0.55,0.04
gusanos.csv,0.95,0.67,0.53,0.54,0.81,0.66,0.71,0.07,0.73,0.67,0.78,0.87,0.63
monetdb.csv,0.73,0.63,0.62,0.7,0.02,0.61,0.88,0.77,0.71,0.86,0.81,0.69,0.6
quarkplayer.csv,0.8,0.83,0.79,1.01,0.89,0.94,0.18,0.88,0.68,0.99,0.86,1.04,0.78
reactos-mirror.csv,0.09,0.72,0.72,0.68,0.5,0.86,0.76,0.84,0.74,0.53,1.14,0.76,0.8
sandiaportals.csv,0.71,0.59,0.64,0.76,0.65,0.71,0.63,0.68,0.96,0.86,0.67,0.0,0.92
xbplayer.csv,0.73,0.73,0.78,0.07,0.65,0.69,0.68,0.68,0.54,0.79,0.95,0.75,0.59
