,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.16,0.16,0.23,0.29,0.24,0.96,0.0,0.14,0.0,0.11,0.09,0.38,0.25
badtrinity-zero.csv,0.24,0.36,0.98,0.31,0.53,0.13,0.12,0.24,0.16,0.77,0.93,0.7,0.62
bibletime.csv,0.54,0.58,0.65,0.49,0.51,0.16,0.14,0.77,0.16,1.0,0.26,0.69,0.65
critterding.csv,0.32,0.99,0.59,0.41,0.56,0.15,0.16,0.57,0.14,0.75,0.81,0.42,0.61
elateportal.csv,0.24,0.4,0.43,0.51,0.51,0.23,0.1,0.42,0.08,0.78,1.0,0.81,0.11
fmri-dmt.csv,0.23,0.15,0.11,0.24,0.04,0.12,0.13,0.3,0.91,0.19,0.09,0.07,0.0
ftm.csv,0.48,0.58,0.47,0.42,0.54,0.15,0.21,0.6,0.21,0.69,0.09,0.62,0.97
gusanos.csv,0.09,0.62,0.6,0.56,0.41,0.17,0.11,0.99,0.14,0.74,0.44,0.23,0.53
monetdb.csv,0.39,0.51,0.52,0.36,0.99,0.24,0.06,0.52,0.17,0.24,0.33,0.47,0.53
quarkplayer.csv,0.35,0.36,0.42,0.12,0.22,0.06,0.9,0.45,0.16,0.43,0.59,0.29,0.35
reactos-mirror.csv,0.93,0.52,0.61,0.48,0.54,0.08,0.14,0.7,0.18,0.77,0.57,0.75,0.59
sandiaportals.csv,0.51,0.63,0.66,0.53,0.53,0.19,0.15,0.79,0.08,0.89,0.96,1.0,0.63
xbplayer.csv,0.37,0.38,0.34,0.95,0.44,0.2,0.15,0.48,0.27,0.36,0.09,0.39,0.54
