,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.12,0.11,0.17,0.25,0.18,0.93,0.0,0.09,0.0,0.07,0.06,0.29,0.19
badtrinity-zero.csv,0.18,0.28,0.97,0.25,0.68,0.52,0.4,0.16,0.37,0.65,0.88,0.59,0.66
bibletime.csv,0.57,0.52,0.67,0.58,0.64,0.6,0.62,0.67,0.57,1.0,0.19,0.59,0.61
critterding.csv,0.28,0.98,0.6,0.55,0.52,0.55,0.66,0.49,0.49,0.63,0.6,0.31,0.64
elateportal.csv,0.2,0.39,0.43,0.51,0.65,0.78,0.39,0.32,0.2,0.65,1.0,0.48,0.09
fmri-dmt.csv,0.18,0.11,0.07,0.2,0.02,0.1,0.11,0.21,0.86,0.13,0.06,0.05,0.0
ftm.csv,0.49,0.54,0.39,0.44,0.54,0.29,0.49,0.52,0.53,0.59,0.06,0.5,0.97
gusanos.csv,0.06,0.64,0.59,0.72,0.5,0.63,0.47,0.99,0.49,0.59,0.34,0.16,0.54
monetdb.csv,0.41,0.52,0.44,0.42,0.98,0.47,0.21,0.44,0.37,0.17,0.24,0.37,0.52
quarkplayer.csv,0.39,0.37,0.43,0.16,0.29,0.27,0.85,0.37,0.51,0.31,0.42,0.23,0.34
reactos-mirror.csv,0.93,0.55,0.6,0.62,0.66,0.28,0.6,0.48,0.59,0.65,0.0,0.56,0.53
sandiaportals.csv,0.58,0.67,0.67,0.6,0.66,0.67,0.64,0.65,0.33,0.44,0.71,1.0,0.3
xbplayer.csv,0.35,0.33,0.27,0.94,0.41,0.37,0.4,0.38,0.54,0.27,0.06,0.29,0.48
