,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.11,0.0,0.06,0.13,0.04,0.0,0.05,0.03,0.05,0.0,0.0,0.11,0.11
badtrinity-zero.csv,0.09,0.05,0.0,0.09,0.57,0.63,0.32,0.0,0.27,0.43,0.17,0.56,0.51
bibletime.csv,0.72,0.78,0.55,0.74,0.65,0.72,0.61,0.59,0.65,0.0,0.5,0.5,0.73
critterding.csv,0.18,0.0,0.54,0.6,0.1,0.77,0.53,0.48,0.53,0.5,0.67,0.0,0.49
elateportal.csv,0.16,0.34,0.46,0.82,0.56,0.58,0.41,0.17,0.27,0.5,0.0,0.83,0.1
fmri-dmt.csv,0.12,0.05,0.06,0.11,0.03,0.02,0.02,0.07,0.0,0.14,0.17,0.0,0.04
ftm.csv,0.29,0.2,0.11,0.24,0.15,0.18,0.2,0.34,0.31,0.14,0.0,0.06,0.03
gusanos.csv,0.06,0.63,0.32,0.51,0.74,0.61,0.46,0.07,0.53,0.57,0.33,0.06,0.44
monetdb.csv,0.39,0.39,0.12,0.33,0.0,0.17,0.32,0.52,0.26,0.0,0.17,0.11,0.32
quarkplayer.csv,0.5,0.51,0.54,0.53,0.49,0.56,0.0,0.62,0.47,0.71,0.67,0.67,0.32
reactos-mirror.csv,0.05,0.61,0.67,0.64,0.36,0.43,0.75,0.79,0.73,0.43,1.0,0.72,0.77
sandiaportals.csv,0.62,0.54,0.61,0.76,0.63,0.71,0.56,0.66,0.69,0.86,0.67,0.0,0.92
xbplayer.csv,0.24,0.2,0.1,0.01,0.13,0.18,0.23,0.1,0.21,0.14,0.0,0.0,0.13
