,brlcad.csv,xmemcached.csv,fceugc.csv,jaolt.csv,kmess.csv,google-gears.csv,ftm.csv,jcache.csv
brlcad.csv,0.8,0.46,0.43,0.26,0.53,0.52,0.63,0.25
fceugc.csv,0.53,0.3,1.0,0.3,0.47,0.42,0.43,0.37
ftm.csv,0.37,0.47,0.51,0.44,0.46,0.32,0.95,0.72
google-gears.csv,0.63,0.68,0.61,0.53,0.58,1.0,0.48,0.65
jaolt.csv,0.52,0.64,0.68,0.99,0.5,0.52,0.45,0.78
jcache.csv,0.39,0.48,0.69,0.52,0.59,0.57,0.0,0.98
kmess.csv,0.49,0.64,0.6,0.39,1.0,0.45,0.57,0.25
xmemcached.csv,0.0,1.0,0.57,0.62,0.44,0.56,0.49,0.3
