,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.15,1.0,0.38,0.52
n2cms.csv,1.0,0.31,0.25,0.52
nassp.csv,0.21,0.4,0.08,0.96
nug.csv,0.32,0.46,0.97,0.42
