,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.1,1.0,0.34,0.55
n2cms.csv,1.0,0.46,0.28,0.69
nassp.csv,0.18,0.41,0.07,0.93
nug.csv,0.33,0.6,0.95,0.6
