,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.64,0.0,0.0,0.73
repositorium.csv,0.19,0.34,0.0,0.32
simplewebservices.csv,0.36,0.09,0.19,0.59
xbg.csv,0.0,0.0,0.35,0.34
