,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.29,1.0,1.0,0.92
repositorium.csv,0.92,0.24,1.05,0.89
simplewebservices.csv,0.78,1.02,0.67,0.46
xbg.csv,1.02,1.0,0.27,0.81
