,campsoft.csv,sevenupdate.csv,extprosys.csv,opennms.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,freewrl.csv,roller.csv,aten.csv,xfce.csv,papertoolkit.csv,glas.csv,ibatisdb.csv,soar.csv,primefaces.csv,xcf.csv,web-cat.csv
encog-cs.csv,0.69,0.5,0.87,0.96,1.0,1.0,0.31,0.22,0.99,0.96,0.65,1.0,0.69,0.72,0.95,0.82,0.88,1.0,0.77,0.65
extprosys.csv,0.67,1.0,0.28,0.97,0.64,0.89,0.47,1.0,0.46,1.0,0.53,1.0,1.0,0.82,0.29,0.74,1.0,0.33,0.73,0.42
freewrl.csv,0.84,0.5,0.7,0.42,0.82,0.44,0.3,0.39,0.49,0.38,0.53,0.0,0.36,0.42,0.49,0.43,0.36,0.93,0.57,0.23
glas.csv,0.48,0.83,0.15,0.61,0.45,0.33,0.92,0.38,0.12,0.21,0.57,0.0,0.57,0.35,0.29,0.41,0.36,0.15,0.13,0.71
ibatisdb.csv,0.1,0.33,0.28,0.38,0.0,0.33,0.29,0.36,0.18,0.0,0.08,0.0,0.18,0.25,0.15,0.19,0.0,0.0,0.03,0.03
japano.csv,0.81,1.0,0.73,0.77,1.0,0.22,0.97,0.84,0.94,1.0,0.45,0.0,0.69,0.95,0.85,0.87,0.48,0.96,0.9,0.61
lockss.csv,0.35,0.0,0.13,0.29,0.27,0.44,0.13,0.3,0.26,0.0,0.08,0.0,0.49,0.2,0.04,0.26,0.0,0.04,0.1,0.16
officefloor.csv,0.58,0.0,0.28,0.21,0.0,0.78,0.36,0.27,0.28,0.0,0.69,1.0,0.45,0.05,0.2,0.49,0.48,0.15,0.0,0.74
opennms.csv,0.49,1.0,0.03,0.26,0.64,0.0,0.23,0.36,0.16,0.25,0.0,0.0,0.6,0.47,0.05,0.09,0.0,0.07,0.33,0.03
papertoolkit.csv,0.56,0.17,0.14,0.17,0.18,0.22,0.14,0.22,0.6,0.17,0.18,0.0,0.0,0.2,0.2,0.05,0.44,0.11,0.4,0.23
primefaces.csv,0.66,0.83,1.0,0.78,0.73,0.78,0.99,0.97,0.99,0.04,0.69,1.0,1.0,0.95,1.0,0.7,0.36,0.22,0.5,0.74
rohxel.csv,0.66,0.5,0.69,0.43,0.27,0.33,0.08,0.28,0.57,0.21,0.12,0.0,0.25,0.42,0.15,0.47,0.68,0.63,0.13,0.03
roller.csv,0.85,1.0,1.0,0.82,0.27,0.78,0.97,1.0,0.72,0.42,0.24,1.0,0.99,0.8,0.55,0.69,0.56,0.63,0.5,0.13
sevenupdate.csv,0.96,0.0,1.0,0.91,1.0,1.0,0.93,0.68,0.99,1.0,1.0,1.0,0.66,0.83,1.0,1.0,1.0,1.0,0.9,1.0
soar.csv,0.62,0.67,0.97,0.78,0.64,0.89,0.62,0.53,0.87,0.5,0.67,1.0,1.0,0.85,1.0,0.82,0.24,0.93,0.8,1.0
web-cat.csv,0.73,0.33,0.85,0.9,0.91,0.89,0.95,0.73,0.81,1.0,0.84,1.0,0.09,0.72,0.73,0.69,1.0,0.52,0.87,0.29
xcf.csv,0.67,0.33,0.43,0.49,0.64,0.67,0.45,0.41,0.67,0.5,0.63,0.0,0.35,0.15,0.51,0.61,0.92,0.07,0.33,0.74
xfce.csv,0.81,0.83,0.49,0.52,0.64,0.44,0.42,0.51,0.98,0.58,0.73,0.0,0.42,0.4,0.6,0.58,0.44,0.78,0.43,0.94
