,campsoft.csv,sevenupdate.csv,extprosys.csv,opennms.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,freewrl.csv,roller.csv,aten.csv,xfce.csv,papertoolkit.csv,glas.csv,ibatisdb.csv,soar.csv,primefaces.csv,xcf.csv,web-cat.csv
encog-cs.csv,1.0,0.73,0.72,0.93,0.9,0.88,0.71,0.23,1.0,1.0,0.45,0.72,0.52,0.67,1.0,0.81,0.87,1.0,0.78,0.68
extprosys.csv,1.0,0.8,0.55,0.96,0.44,0.74,0.62,1.0,0.79,1.0,0.8,0.5,1.0,0.67,0.46,0.97,0.9,0.32,0.69,0.37
freewrl.csv,1.0,0.47,0.94,0.39,0.95,0.52,0.53,0.59,0.79,0.81,0.69,0.45,0.64,1.0,0.65,0.86,0.32,0.85,0.78,0.37
glas.csv,1.0,0.55,0.3,0.75,0.51,0.37,0.85,0.82,0.39,0.3,0.56,0.61,0.76,0.0,0.59,0.81,0.45,0.32,0.47,0.79
ibatisdb.csv,0.0,0.31,0.3,0.46,0.18,0.25,0.41,0.45,0.5,0.07,0.05,0.19,0.36,0.33,0.38,0.83,0.0,0.18,0.28,0.32
japano.csv,0.0,0.94,0.85,0.82,0.95,0.78,0.92,0.73,0.79,1.0,0.43,0.65,0.62,1.0,0.78,0.78,0.42,0.95,0.81,0.74
lockss.csv,1.0,0.35,0.3,0.32,0.38,0.39,0.27,0.64,0.63,0.0,0.48,0.13,0.68,0.33,0.05,0.31,0.03,0.12,0.44,0.16
officefloor.csv,1.0,0.22,0.26,0.18,0.03,0.58,0.48,0.23,0.63,0.0,0.81,0.57,0.6,0.0,0.19,0.92,0.45,0.15,0.34,0.74
opennms.csv,1.0,0.57,0.09,0.68,0.67,0.11,0.35,0.55,0.29,0.26,0.15,0.13,0.7,0.33,0.08,0.17,0.0,0.12,0.22,0.0
papertoolkit.csv,0.0,0.24,0.19,0.25,0.18,0.18,0.29,0.23,0.47,0.26,0.32,0.18,0.04,1.0,0.14,0.11,0.35,0.18,0.44,0.05
primefaces.csv,1.0,0.94,1.0,0.71,0.77,0.7,0.98,1.0,0.97,0.0,0.76,1.0,1.0,1.0,1.0,0.97,0.16,0.75,0.62,0.84
rohxel.csv,1.0,0.63,0.81,0.43,0.72,0.57,0.35,0.59,0.87,0.48,0.57,0.59,0.49,0.33,0.35,0.69,0.35,0.6,0.25,0.05
roller.csv,1.0,0.98,1.0,0.75,0.62,0.65,0.89,1.0,0.95,0.7,0.77,0.93,0.99,1.0,0.7,0.97,0.26,0.65,0.53,0.16
sevenupdate.csv,1.0,0.73,1.0,0.71,0.97,1.0,0.92,0.59,0.97,1.0,1.0,0.93,0.76,1.0,1.0,1.0,1.0,0.98,0.97,1.0
soar.csv,1.0,0.41,0.96,0.64,0.74,0.85,0.53,0.73,0.79,0.33,0.65,0.96,1.0,1.0,0.92,0.97,0.61,0.82,0.75,0.89
web-cat.csv,0.0,0.49,0.87,0.75,0.82,0.59,0.88,0.68,0.82,1.0,0.83,0.85,0.24,1.0,0.86,0.89,0.97,0.45,0.94,0.84
xcf.csv,0.0,0.41,0.55,0.57,0.72,0.56,0.67,0.45,0.84,0.7,0.87,0.62,0.51,0.33,0.84,0.92,0.84,0.15,0.81,0.89
xfce.csv,0.0,0.78,0.79,0.75,0.59,0.56,0.59,0.55,1.0,0.63,0.96,0.64,0.64,0.67,0.54,0.36,0.26,0.75,0.66,0.79
