,plearn.csv,re2c.csv,psrchive.csv,lsb.csv,aubit4gl.csv,bullet.csv,tktoolkit.csv,customwars.csv,rtrt-on-gpu.csv,stemkit.csv,frogatto.csv,grisbi.csv,tcvp.csv,xstore.csv,tycho.csv,bionote.csv,rebecca-aiml.csv,adobe-source.csv,findbugs.csv,oscarmcmaster.csv
adobe-source.csv,0.44,0.83,0.43,0.2,0.0,0.58,0.0,0.24,0.2,0.17,0.44,0.7,0.22,0.46,0.54,0.25,0.39,0.67,0.54,0.57
aubit4gl.csv,0.05,0.33,0.21,0.16,0.69,0.37,0.09,0.18,0.1,0.0,0.5,0.2,0.0,0.3,0.26,0.25,0.74,0.13,0.36,0.17
bionote.csv,0.42,0.33,0.43,0.02,0.46,0.34,0.48,0.12,0.2,0.0,0.14,0.77,0.0,0.22,0.0,0.88,0.26,0.53,0.39,0.43
bullet.csv,0.25,1.0,0.86,0.64,0.96,0.72,0.78,0.35,0.7,0.83,0.81,0.65,0.78,0.61,0.14,0.75,0.52,0.53,0.68,0.55
customwars.csv,0.69,0.33,0.71,0.33,0.76,0.63,0.7,0.53,0.5,0.17,0.36,0.85,0.0,0.41,0.03,0.75,0.26,0.6,0.57,0.43
findbugs.csv,0.76,1.0,0.79,0.11,0.61,0.82,0.35,0.53,0.3,0.5,0.64,0.68,0.22,0.7,0.54,0.62,0.76,0.47,0.57,0.47
frogatto.csv,0.88,0.83,0.86,0.47,0.85,0.82,0.87,0.71,0.5,0.33,0.69,0.86,0.0,0.78,0.51,1.0,0.61,0.83,0.93,0.81
grisbi.csv,0.95,0.67,0.93,0.29,0.83,0.91,0.78,1.0,1.0,0.67,0.89,0.88,0.89,0.93,0.77,0.88,1.0,0.87,0.64,0.96
lsb.csv,0.56,0.5,0.86,0.73,0.78,0.61,0.57,0.88,0.7,0.67,0.72,0.27,0.0,0.43,0.37,0.75,0.46,0.47,0.93,0.7
oscarmcmaster.csv,0.9,0.83,0.71,0.36,0.8,0.84,0.48,0.88,0.2,0.17,0.69,0.92,0.33,0.78,1.0,0.62,1.0,0.87,0.64,0.57
plearn.csv,0.64,0.5,0.36,0.02,0.07,0.34,0.0,0.35,0.3,0.0,0.11,0.47,0.22,0.57,0.77,0.25,0.69,0.3,0.46,0.55
psrchive.csv,0.58,0.83,0.71,0.56,0.83,0.54,0.65,0.53,0.2,0.17,0.36,0.71,0.0,0.5,0.57,0.38,0.81,0.47,0.5,0.43
re2c.csv,0.37,1.0,0.57,0.78,0.37,0.43,0.04,0.65,0.4,1.0,0.92,0.27,0.89,0.72,1.0,0.25,0.76,0.23,0.61,0.49
rebecca-aiml.csv,0.32,0.67,0.71,0.8,0.8,0.76,0.35,0.82,0.5,0.67,0.72,0.73,0.33,0.67,0.83,1.0,0.81,0.6,0.89,0.57
rtrt-on-gpu.csv,0.59,0.67,0.64,0.49,0.74,0.69,0.83,0.18,0.6,0.33,0.22,0.5,0.11,0.15,0.29,0.25,0.54,0.6,0.32,0.4
stemkit.csv,0.07,0.5,0.14,0.62,0.63,0.33,0.57,0.47,0.3,0.83,0.31,0.38,0.44,0.11,0.11,0.62,0.33,0.37,0.36,0.17
tcvp.csv,0.0,0.0,0.07,0.36,0.0,0.01,0.0,0.06,0.0,0.5,0.19,0.02,0.67,0.2,0.31,0.0,0.17,0.0,0.07,0.11
tktoolkit.csv,0.19,0.67,0.43,0.89,0.67,0.69,0.48,0.71,0.6,1.0,0.75,0.67,0.89,0.41,0.37,1.0,0.57,0.6,0.57,0.6
tycho.csv,0.49,0.67,0.71,0.07,0.19,0.37,0.17,0.65,0.1,0.33,0.42,0.55,0.22,0.43,0.71,0.62,0.57,0.3,0.57,0.45
xstore.csv,0.42,0.33,0.5,0.67,0.91,0.48,0.78,0.82,0.2,0.67,0.75,0.5,0.56,0.72,0.57,0.62,0.72,0.53,0.82,0.51
