,plearn.csv,re2c.csv,psrchive.csv,lsb.csv,aubit4gl.csv,bullet.csv,tktoolkit.csv,customwars.csv,rtrt-on-gpu.csv,stemkit.csv,frogatto.csv,grisbi.csv,tcvp.csv,xstore.csv,tycho.csv,bionote.csv,rebecca-aiml.csv,adobe-source.csv,findbugs.csv,oscarmcmaster.csv
adobe-source.csv,0.18,0.29,0.13,0.16,0.0,0.67,0.0,0.41,0.04,0.17,0.12,0.14,0.31,0.34,0.29,0.44,0.83,0.16,0.38,0.33
aubit4gl.csv,0.02,0.08,0.15,0.01,0.29,0.33,0.01,0.17,0.04,0.21,0.36,0.21,0.0,0.22,0.25,0.21,0.2,0.04,0.29,0.11
bionote.csv,0.2,0.29,0.19,0.0,0.44,0.43,0.48,0.08,0.0,0.01,0.0,0.14,0.0,0.17,0.0,0.21,0.56,0.22,0.22,0.24
bullet.csv,0.21,0.92,0.72,0.15,0.85,0.33,0.68,0.58,0.73,0.75,0.55,0.71,0.42,0.37,0.0,0.94,0.09,0.56,0.73,0.65
customwars.csv,0.49,0.63,0.41,0.01,0.56,0.43,0.66,0.33,0.21,0.24,0.09,0.21,0.0,0.17,0.04,0.37,0.32,0.37,0.67,0.47
findbugs.csv,0.46,0.57,0.59,0.0,0.5,0.62,0.18,0.64,0.08,0.51,0.27,0.21,0.35,0.54,0.32,0.4,0.56,0.24,0.27,0.35
frogatto.csv,0.89,0.88,0.64,0.08,0.77,0.57,0.86,0.67,0.58,0.42,0.21,0.43,0.05,0.61,0.29,0.67,0.61,0.57,0.89,0.73
grisbi.csv,0.9,0.67,0.92,0.54,0.77,0.81,0.94,0.97,0.92,0.92,0.7,0.14,0.81,1.0,0.68,0.98,0.99,0.92,0.8,0.88
lsb.csv,0.6,0.71,0.76,0.13,0.6,0.52,0.39,0.87,0.73,0.24,0.45,0.43,0.11,0.27,0.46,0.52,0.11,0.37,0.82,0.71
oscarmcmaster.csv,0.82,0.41,0.56,0.5,0.58,0.9,0.34,0.79,0.06,0.33,0.39,0.79,0.72,0.71,0.82,0.6,0.8,0.57,0.51,0.31
plearn.csv,0.34,0.75,0.41,0.25,0.17,0.43,0.07,0.56,0.48,0.19,0.09,0.14,0.32,0.49,0.89,0.35,0.89,0.39,0.42,0.57
psrchive.csv,0.4,0.22,0.2,0.65,0.65,0.52,0.63,0.29,0.06,0.22,0.21,0.57,0.19,0.51,0.32,0.31,0.83,0.34,0.29,0.29
re2c.csv,0.26,0.02,0.53,0.92,0.29,0.43,0.05,0.79,0.25,0.85,0.91,0.79,1.0,0.51,0.96,0.65,0.51,0.52,0.51,0.42
rebecca-aiml.csv,0.22,0.33,0.55,0.5,0.65,0.57,0.09,0.93,0.31,0.6,0.33,0.36,0.43,0.39,0.43,0.88,0.15,0.3,0.82,0.52
rtrt-on-gpu.csv,0.65,0.9,0.63,0.24,0.56,0.71,0.83,0.27,0.12,0.29,0.27,0.21,0.3,0.37,0.64,0.48,0.83,0.44,0.4,0.51
stemkit.csv,0.09,0.27,0.13,0.29,0.54,0.19,0.61,0.42,0.1,0.25,0.52,0.57,0.45,0.24,0.04,0.77,0.05,0.28,0.22,0.3
tcvp.csv,0.0,0.0,0.11,0.07,0.08,0.0,0.0,0.0,0.02,0.31,0.27,0.0,0.23,0.07,0.18,0.08,0.01,0.03,0.07,0.15
tktoolkit.csv,0.31,0.29,0.39,0.72,0.75,0.52,0.13,0.78,0.42,0.74,0.79,0.71,0.85,0.44,0.14,1.0,0.13,0.45,0.69,0.52
tycho.csv,0.27,0.12,0.28,0.28,0.1,0.43,0.12,0.66,0.17,0.31,0.21,0.43,0.43,0.22,0.21,0.15,0.43,0.25,0.33,0.22
xstore.csv,0.3,0.08,0.48,0.74,0.88,0.19,0.72,0.79,0.4,0.76,0.42,0.14,0.58,0.32,0.29,0.52,0.2,0.47,0.73,0.42
