,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.39,0.44,0.52,0.53,0.44,0.62,0.48,0.51,0.58,0.67,0.38,0.55,0.47,0.38,0.5,0.36,0.45,0.7
cornerstone.csv,0.5,0.44,0.57,0.59,0.5,0.44,0.4,0.51,0.64,0.76,0.47,0.58,0.44,0.62,0.51,0.61,0.4,0.54
emeraldemu.csv,0.39,0.6,0.76,0.79,0.54,0.75,0.64,0.62,0.8,0.89,0.41,0.71,0.51,0.94,0.54,0.56,0.44,0.86
grafx2.csv,0.4,0.43,0.48,0.57,0.62,0.65,0.41,0.52,0.55,0.54,0.39,0.44,0.45,0.44,0.52,0.39,0.4,0.42
jahshakafx.csv,0.52,0.63,0.98,0.89,0.55,0.95,0.73,0.73,0.67,0.88,0.47,0.75,0.96,0.75,0.62,0.67,0.62,0.75
kindb.csv,0.32,0.36,0.39,0.39,0.45,0.39,0.31,0.34,0.38,0.45,0.31,0.36,0.36,0.35,0.34,0.37,0.33,0.34
maya-work-in-progress.csv,0.47,0.57,0.42,0.44,0.47,0.45,0.36,0.43,0.41,0.5,0.35,0.35,0.43,0.37,0.39,0.33,0.36,0.43
netatalk.csv,0.45,0.52,0.47,0.64,0.46,0.62,0.44,0.55,0.76,0.8,0.43,0.45,0.53,0.53,0.47,0.53,0.43,0.71
novembre.csv,0.71,0.6,0.68,0.9,0.88,0.96,0.67,0.84,0.97,0.9,0.59,0.72,0.7,0.89,0.56,0.88,0.71,0.83
ns-3.csv,0.49,0.57,0.46,0.59,0.56,0.49,0.4,0.42,0.48,0.58,0.47,0.44,0.38,0.55,0.6,0.33,0.41,0.36
nullc.csv,0.6,0.69,0.51,0.62,0.46,0.44,0.39,0.49,0.49,0.54,0.48,0.49,0.38,0.75,0.46,0.48,0.49,0.43
open-beos.csv,0.47,0.58,0.55,0.64,0.53,0.55,0.46,0.55,0.59,0.75,0.55,0.59,0.55,0.64,0.52,0.63,0.39,0.67
planeshift.csv,0.39,0.41,0.44,0.49,0.46,0.48,0.34,0.38,0.39,0.45,0.35,0.4,0.37,0.43,0.41,0.38,0.35,0.33
plee-the-bear.csv,0.98,1.0,0.97,0.5,0.79,0.71,0.87,0.98,0.98,0.83,0.81,0.97,0.9,0.83,0.85,0.67,0.9,0.83
reaper-ecad.csv,0.54,0.7,0.48,0.95,0.5,0.44,0.47,0.52,0.49,0.51,0.51,0.73,0.42,0.61,0.43,0.47,0.45,0.49
sbml.csv,0.38,0.52,0.49,0.53,0.44,0.44,0.35,0.4,0.42,0.65,0.41,0.36,0.34,0.43,0.39,0.42,0.37,0.48
unimrcp.csv,0.62,0.82,0.98,0.96,0.58,0.92,0.89,0.98,0.94,0.8,0.59,0.67,0.94,0.8,0.5,0.8,0.67,0.86
unladen-swallow.csv,0.98,1.0,0.63,0.78,0.83,0.63,0.65,0.77,0.58,0.54,0.8,0.67,0.8,0.85,0.63,0.49,0.85,0.71
