,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.55,0.22,0.12,0.23,0.94,0.77,0.48,0.54,0.58,0.8,0.62,0.45,0.9,0.83,0.76,1.0,0.99,0.5
cornerstone.csv,0.39,0.21,0.15,0.24,0.9,0.69,0.34,0.4,0.59,0.43,0.96,0.25,0.77,0.46,0.69,0.61,0.63,0.21
emeraldemu.csv,0.58,0.25,0.22,0.26,0.92,0.75,0.36,1.0,0.56,0.89,0.53,0.46,0.84,0.81,0.66,0.81,0.71,0.57
grafx2.csv,0.53,0.22,0.1,0.3,0.9,0.7,0.32,0.44,0.56,0.62,0.54,0.33,0.89,1.0,0.73,0.87,0.67,0.46
jahshakafx.csv,1.0,0.23,0.24,0.17,0.91,0.82,0.18,0.55,0.63,0.88,0.58,0.5,0.85,0.83,0.96,0.89,0.79,0.5
kindb.csv,0.49,0.18,0.08,0.23,0.81,0.7,0.33,0.38,0.5,0.71,0.57,0.36,0.8,0.74,0.77,0.97,0.65,0.38
maya-work-in-progress.csv,0.37,0.16,0.09,0.27,0.88,0.75,0.33,0.33,0.47,1.0,0.54,0.38,0.76,0.71,0.81,0.83,0.63,0.33
netatalk.csv,0.52,0.14,0.06,0.14,0.92,0.74,0.26,0.5,0.59,0.8,0.59,0.45,0.85,0.56,0.86,0.79,0.64,0.93
novembre.csv,0.65,0.23,0.14,0.1,0.88,0.75,1.0,0.41,0.65,0.7,0.74,0.48,0.8,0.56,0.76,0.88,0.66,0.5
ns-3.csv,0.32,0.13,0.08,0.22,0.83,0.99,0.26,0.34,0.52,0.44,0.56,0.28,0.81,0.52,0.74,0.93,0.57,0.36
nullc.csv,0.3,0.09,0.04,0.13,0.98,0.66,0.29,0.31,0.36,0.32,0.56,0.26,0.75,0.54,0.7,0.66,0.52,0.23
open-beos.csv,0.48,0.12,0.14,0.25,0.93,0.76,0.25,0.49,0.99,0.81,0.61,0.29,0.82,0.48,0.69,0.67,0.68,0.33
planeshift.csv,0.51,0.17,0.09,0.19,0.96,0.76,0.3,0.42,0.46,0.72,0.53,0.34,0.99,0.66,0.77,0.74,0.6,0.28
plee-the-bear.csv,0.24,0.14,1.0,0.5,0.66,0.66,0.2,0.17,0.4,0.27,0.47,0.23,0.63,0.33,0.45,0.33,0.44,0.04
reaper-ecad.csv,0.3,0.08,0.06,1.0,0.8,0.65,0.34,0.31,0.37,0.35,0.49,0.18,0.79,0.47,0.68,0.66,0.55,0.26
sbml.csv,0.52,0.14,0.11,0.25,0.92,0.71,0.3,0.44,0.52,0.47,0.59,0.43,0.81,0.87,1.0,0.72,0.65,0.31
unimrcp.csv,0.58,0.27,0.24,0.17,0.92,0.77,0.33,0.6,0.61,0.6,0.59,0.96,0.82,1.0,1.0,1.0,0.81,0.43
unladen-swallow.csv,0.29,0.73,0.04,0.07,0.67,0.6,0.3,0.23,0.33,0.33,0.4,0.18,0.7,0.45,0.58,0.66,0.46,0.14
