,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.25,0.33,0.32,0.22,0.09,0.19,0.28,0.24,0.22,0.06,0.43,0.22,0.17,0.13,0.31,0.0,0.01,0.13
cornerstone.csv,0.36,0.36,0.3,0.25,0.18,0.64,0.57,0.42,0.22,0.26,0.04,0.7,0.63,0.97,0.59,0.88,0.56,0.82
emeraldemu.csv,0.27,0.2,0.13,0.15,0.09,0.19,0.22,0.0,0.13,0.02,0.66,0.18,0.26,0.08,0.53,0.19,0.32,0.08
grafx2.csv,0.28,0.34,0.39,0.2,0.18,0.32,0.57,0.33,0.28,0.21,0.55,0.64,0.22,0.0,0.41,0.25,0.41,0.34
jahshakafx.csv,0.0,0.19,0.08,0.09,0.09,0.05,0.22,0.15,0.14,0.02,0.32,0.14,0.09,0.05,0.03,0.06,0.13,0.11
kindb.csv,0.43,0.53,0.6,0.42,0.55,0.52,0.75,0.63,0.46,0.19,0.68,0.57,0.59,0.29,0.56,0.06,0.59,0.47
maya-work-in-progress.csv,0.64,0.35,0.48,0.34,0.36,0.37,0.6,0.52,0.5,0.0,0.83,0.53,0.54,0.26,0.38,0.31,0.56,0.53
netatalk.csv,0.31,0.7,0.84,0.83,0.18,0.23,0.5,0.26,0.14,0.04,0.47,0.3,0.26,0.53,0.22,0.25,0.49,0.03
novembre.csv,0.1,0.2,0.22,0.21,0.09,0.08,0.0,0.17,0.07,0.06,0.15,0.18,0.2,0.11,0.31,0.06,0.17,0.08
ns-3.csv,0.66,0.6,0.66,0.44,0.27,0.01,0.88,0.63,0.38,0.57,0.4,0.88,0.57,0.92,0.41,0.12,0.8,0.47
nullc.csv,0.59,0.71,0.79,0.84,0.09,0.91,0.88,0.67,0.84,0.94,0.49,0.77,0.93,0.34,0.75,0.94,0.76,0.89
open-beos.csv,0.28,0.74,0.29,0.2,0.09,0.28,0.45,0.3,0.0,0.06,0.36,0.61,0.3,0.89,0.53,0.62,0.42,0.32
planeshift.csv,0.37,0.55,0.63,0.48,0.09,0.29,0.82,0.52,0.57,0.17,0.6,0.58,0.02,0.42,0.56,0.69,0.77,0.68
plee-the-bear.csv,0.19,0.07,0.0,0.01,0.91,0.49,0.3,0.32,0.27,0.47,0.36,0.31,0.5,0.11,0.56,0.12,0.39,0.58
reaper-ecad.csv,0.87,0.69,0.82,0.0,1.0,0.93,0.52,0.67,0.83,0.98,0.64,0.57,0.67,0.97,0.94,1.0,0.75,0.84
sbml.csv,0.33,0.56,0.4,0.37,0.18,0.43,0.65,0.45,0.43,0.38,0.51,0.34,0.57,0.08,0.0,0.75,0.46,0.53
unimrcp.csv,0.14,0.11,0.09,0.11,0.09,0.04,0.15,0.07,0.03,0.04,0.23,0.01,0.07,0.0,0.0,0.0,0.1,0.11
unladen-swallow.csv,0.13,0.03,0.6,0.54,0.73,0.68,0.4,0.46,0.66,0.89,0.06,0.61,0.39,0.47,0.75,0.75,0.41,0.63
