,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,0.21,0.79,0.24,0.35,0.44,0.84,0.26,0.13,0.46,0.77,0.68,0.47,0.6,0.42,0.1,0.27,0.27,0.94
boost-sandbox.csv,0.31,0.66,0.14,0.45,0.31,0.64,0.14,0.14,0.1,0.71,0.68,0.48,0.48,0.26,0.27,0.55,0.39,0.26
clamav.csv,0.34,0.43,0.1,0.57,0.51,0.77,0.28,0.16,0.35,0.26,0.72,0.39,0.68,0.44,0.13,0.52,0.44,0.75
co-ode-owl-plugins.csv,0.29,0.59,0.32,0.39,0.24,0.43,0.34,0.68,0.22,0.61,0.16,0.47,0.43,0.25,0.08,0.71,0.54,0.56
etherboot.csv,0.28,0.82,0.0,0.24,0.06,0.74,0.21,0.11,0.46,0.0,0.78,0.0,0.51,0.0,0.0,0.68,0.0,0.98
freebios.csv,0.24,0.56,0.2,0.29,0.31,0.38,0.1,0.39,0.33,0.65,0.8,0.78,0.33,0.33,0.12,0.57,0.43,0.62
frogatto.csv,0.2,0.65,0.17,0.58,0.55,0.65,0.25,0.16,0.43,0.65,0.82,0.41,0.57,0.41,0.1,0.71,0.39,0.91
glelite.csv,0.25,0.49,0.19,0.6,0.49,0.73,0.22,0.13,0.42,0.54,0.92,0.65,0.51,0.41,0.1,0.67,0.41,0.98
jasperreports.csv,0.29,0.72,0.14,0.47,0.48,0.68,0.22,0.11,0.45,0.82,0.68,0.49,0.49,0.3,0.49,0.36,0.15,0.62
konversation.csv,0.17,0.65,0.24,0.38,0.43,0.38,0.45,0.36,0.38,0.47,0.49,0.28,0.15,0.35,0.2,0.45,0.25,0.31
miranda-icq.csv,0.33,0.64,0.0,0.52,0.48,0.74,0.46,0.07,0.4,0.74,0.65,0.38,0.47,0.48,0.23,0.56,0.26,0.4
olap-navigator.csv,0.2,0.9,0.18,0.49,0.43,0.35,0.29,0.14,0.42,0.74,0.63,0.45,0.31,0.25,0.26,0.53,0.21,0.51
pclasses.csv,0.62,0.52,0.0,0.36,0.41,0.0,0.33,0.32,0.0,0.3,0.64,0.11,0.5,0.0,0.05,0.18,0.27,0.06
plato.csv,0.29,0.55,0.19,0.55,0.46,0.74,0.21,0.25,0.42,0.85,0.93,0.66,0.53,0.41,0.1,0.69,0.45,0.99
re2c.csv,0.19,0.49,0.92,0.39,0.28,0.37,0.09,0.57,0.24,0.35,0.33,0.49,0.33,0.23,0.01,0.67,0.52,0.51
rebecca-aiml.csv,0.0,0.51,0.31,0.39,0.51,0.24,0.31,0.2,0.34,0.49,0.81,0.35,0.34,0.33,0.13,0.7,0.76,0.67
tzod.csv,0.2,0.33,0.0,0.58,0.29,0.46,0.19,0.09,0.22,0.4,0.2,0.3,0.47,0.29,0.14,0.48,0.29,0.11
wxcrp.csv,0.32,0.72,0.19,0.54,0.58,0.64,0.25,0.28,0.42,0.83,0.85,0.59,0.59,0.4,0.1,0.6,0.34,0.98
