,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.34,0.42,0.33,0.35,0.39,0.4,0.36,0.35,0.45,0.46
chrysalis.csv,0.68,0.67,0.93,0.51,0.88,0.67,0.85,0.0,0.5,0.85
jahshaka.csv,0.91,0.88,0.92,0.93,0.89,0.54,0.81,0.86,0.62,0.69
jam-daq.csv,0.62,0.88,0.92,0.38,0.93,0.97,0.51,0.8,0.63,0.94
jatlas.csv,0.94,0.0,0.0,0.67,0.8,0.0,0.75,0.0,0.0,0.0
jedit.csv,0.47,0.59,0.39,0.33,0.58,0.65,0.38,0.59,0.78,0.59
mscore.csv,0.5,0.48,0.44,0.36,0.59,0.47,0.37,0.56,0.54,0.97
open-media-library.csv,0.43,0.92,0.51,0.58,0.62,0.55,0.56,0.73,0.46,0.96
panda3d.csv,0.94,0.67,0.95,0.93,0.94,0.96,0.89,0.91,0.8,0.0
wheat.csv,0.69,0.81,0.56,0.95,0.65,0.63,0.7,0.48,0.61,0.97
