,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
chrysalis.csv,0.51,0.0,0.18,0.43,0.23,0.02,0.31,0.0,0.02,0.97
jahshaka.csv,0.19,0.77,0.18,0.18,0.23,0.51,0.31,0.17,0.57,0.45
jam-daq.csv,0.43,0.41,0.24,0.57,0.24,0.21,0.97,0.09,0.43,0.38
jatlas.csv,0.06,0.0,0.02,0.02,1.0,0.0,0.02,0.0,0.0,0.0
jedit.csv,0.98,0.4,0.49,0.73,0.0,0.41,0.58,0.49,0.22,0.59
mscore.csv,0.56,0.56,0.6,0.6,0.62,0.98,0.63,0.4,0.42,0.34
open-media-library.csv,0.66,0.41,1.0,0.43,0.43,0.51,0.62,0.4,0.57,0.18
panda3d.csv,0.3,0.0,0.18,0.19,0.44,0.17,0.16,0.25,0.95,0.0
wheat.csv,0.34,0.48,0.56,0.25,0.23,0.45,0.41,0.99,0.46,0.26
