,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.96,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chrysalis.csv,0.08,0.06,0.2,0.0,0.24,0.0,0.15,0.04,0.01,0.01
jahshaka.csv,0.01,0.0,0.13,0.0,0.27,0.22,0.17,0.12,0.51,0.21
jam-daq.csv,0.24,0.08,0.11,0.0,0.21,0.11,0.0,0.12,0.19,0.06
jatlas.csv,0.2,0.0,0.0,0.33,0.0,0.0,0.06,0.0,0.0,0.0
jedit.csv,0.0,0.27,0.48,0.0,0.39,0.2,0.48,0.38,0.17,0.25
mscore.csv,0.31,0.39,0.41,0.67,0.31,0.01,0.63,0.33,0.48,0.17
open-media-library.csv,0.45,0.16,0.02,0.67,0.39,0.25,0.46,0.21,0.36,0.16
panda3d.csv,0.21,0.06,0.28,0.0,0.26,0.09,0.06,0.21,0.01,0.01
wheat.csv,0.44,0.33,0.41,0.0,0.53,0.4,0.54,0.04,0.4,0.22
