,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.0,4.0,4.0,0.0,42.0,1.0,1.0,0.0,3.0,42.0
chrysalis.csv,3.0,59.0,3.0,0.0,13.0,0.0,0.0,51.0,1.0,0.0
jahshaka.csv,1.0,0.0,3.0,0.0,13.0,3.0,1.0,3.0,3.0,3.0
jam-daq.csv,1.0,4.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0
jatlas.csv,13.0,59.0,0.0,0.0,0.0,209.0,1.0,51.0,154.0,160.0
jedit.csv,0.0,3.0,1.0,0.0,66.0,0.0,5.0,0.0,5.0,12.0
mscore.csv,5.0,3.0,0.0,0.0,10.0,0.0,2.0,0.0,2.0,15.0
open-media-library.csv,0.0,3.0,0.0,0.0,14.0,0.0,1.0,1.0,0.0,15.0
panda3d.csv,0.0,59.0,3.0,0.0,13.0,0.0,2.0,0.0,1.0,160.0
wheat.csv,1.0,5.0,2.0,0.0,26.0,6.0,1.0,0.0,2.0,24.0
