,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,kvs.csv,ogrehg.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv,sandiaportals.csv,nativeclient.csv,miranda.csv
alpine.csv,0.24,0.44,0.15,0.23,0.29,0.22,0.18,0.18,0.34,0.17,0.42,0.18,0.17,0.31,0.25,0.23,0.39,0.3,0.35
badtrinity-zero.csv,0.18,0.39,0.16,0.25,0.31,0.32,0.34,0.42,0.35,0.15,0.41,0.28,0.3,0.17,0.19,0.31,0.3,0.23,0.31
boost.csv,0.22,0.24,0.22,0.24,0.27,0.2,0.18,0.16,0.26,0.27,0.19,0.24,0.23,0.2,0.19,0.19,0.17,0.21,0.25
critterding.csv,0.3,0.27,0.38,0.42,0.36,0.35,0.37,0.41,0.34,0.39,0.3,0.3,0.39,0.3,0.29,0.38,0.25,0.44,0.32
enzo.csv,0.3,0.25,0.22,0.39,0.35,0.21,0.34,0.32,0.43,0.24,0.25,0.33,0.23,0.24,0.28,0.3,0.35,0.34,0.26
etics.csv,0.19,0.25,0.16,0.16,0.24,0.18,0.18,0.19,0.16,0.22,0.21,0.18,0.27,0.18,0.19,0.15,0.18,0.12,0.25
fmri-dmt.csv,0.4,0.44,0.35,0.44,0.36,0.46,0.37,0.42,0.45,0.4,0.42,0.38,0.42,0.43,0.22,0.43,0.39,0.49,0.34
gusanos.csv,0.22,0.36,0.18,0.18,0.29,0.17,0.24,0.35,0.35,0.37,0.27,0.24,0.15,0.43,0.21,0.2,0.39,0.41,0.24
kftpgrabber.csv,0.39,0.19,0.27,0.13,0.29,0.12,0.15,0.39,0.14,0.16,0.18,0.13,0.18,0.32,0.26,0.13,0.39,0.27,0.28
kvs.csv,0.19,0.13,0.18,0.17,0.17,0.19,0.14,0.15,0.15,0.12,0.17,0.15,0.36,0.2,0.25,0.19,0.38,0.32,0.18
miranda.csv,0.4,0.44,0.13,0.19,0.29,0.21,0.24,0.37,0.3,0.37,0.42,0.25,0.18,0.43,0.24,0.27,0.39,0.48,0.24
modplug.csv,0.24,0.25,0.31,0.25,0.24,0.29,0.25,0.34,0.28,0.37,0.22,0.25,0.3,0.16,0.24,0.33,0.18,0.23,0.28
monetdb.csv,0.2,0.19,0.31,0.14,0.32,0.26,0.17,0.27,0.21,0.2,0.19,0.15,0.22,0.36,0.25,0.16,0.25,0.22,0.2
nativeclient.csv,0.27,0.2,0.18,0.24,0.23,0.26,0.24,0.31,0.23,0.3,0.18,0.22,0.18,0.19,0.21,0.28,0.24,0.29,0.27
ogrehg.csv,0.18,0.25,0.22,0.22,0.16,0.24,0.27,0.27,0.2,0.28,0.26,0.3,0.27,0.39,0.28,0.18,0.35,0.14,0.33
passwordsafe.csv,0.22,0.17,0.36,0.31,0.23,0.36,0.27,0.39,0.45,0.24,0.21,0.29,0.38,0.31,0.21,0.24,0.39,0.16,0.31
quarkplayer.csv,0.27,0.19,0.38,0.3,0.3,0.34,0.32,0.39,0.27,0.33,0.28,0.38,0.26,0.37,0.25,0.36,0.27,0.32,0.26
reactos-mirror.csv,0.24,0.32,0.38,0.26,0.27,0.34,0.21,0.31,0.22,0.36,0.33,0.28,0.3,0.31,0.19,0.26,0.39,0.34,0.35
sandiaportals.csv,0.31,0.36,0.38,0.25,0.27,0.35,0.25,0.27,0.26,0.34,0.34,0.24,0.34,0.3,0.21,0.23,0.28,0.28,0.3
