,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,kvs.csv,ogrehg.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv,sandiaportals.csv,nativeclient.csv,miranda.csv
alpine.csv,0.51,0.0,0.51,0.47,0.29,0.6,0.61,0.81,0.47,0.21,0.0,0.52,0.76,0.15,0.46,0.62,0.0,0.71,0.0
badtrinity-zero.csv,0.37,0.07,0.64,0.68,0.46,0.68,0.46,0.05,0.68,0.31,0.01,0.56,0.6,0.24,0.53,0.66,0.72,0.19,0.6
boost.csv,0.45,0.49,0.8,0.56,0.46,0.56,0.53,0.29,0.68,0.54,0.61,0.52,0.73,0.46,0.64,0.49,0.49,0.48,0.65
critterding.csv,0.57,0.64,0.09,0.44,0.27,0.53,0.32,0.31,0.61,0.43,0.56,0.68,0.35,0.72,0.09,0.45,0.61,0.46,0.44
enzo.csv,0.48,0.54,0.73,0.38,0.33,0.61,0.4,0.47,0.3,0.57,0.7,0.48,0.6,0.8,0.47,0.61,0.37,0.59,0.57
etics.csv,0.46,0.61,0.78,0.42,0.18,0.54,0.63,0.46,0.42,0.56,0.61,0.58,0.77,0.44,0.37,0.47,0.57,0.21,0.66
fmri-dmt.csv,0.51,0.44,0.57,0.47,0.23,0.5,0.29,0.33,0.44,0.57,0.48,0.16,0.31,0.17,0.93,0.43,0.56,0.49,0.45
gusanos.csv,0.42,0.55,0.69,0.33,0.35,0.36,0.66,0.2,0.51,0.0,0.77,0.18,0.57,0.0,0.64,0.5,0.0,0.07,0.62
kftpgrabber.csv,0.04,0.48,0.18,0.31,0.12,0.32,0.6,0.29,0.4,0.31,0.6,0.4,0.82,0.11,0.35,0.38,0.0,0.12,0.49
kvs.csv,0.49,0.33,0.63,0.42,0.76,0.37,0.39,0.2,0.41,0.21,0.37,0.45,0.2,0.61,0.52,0.34,0.0,0.59,0.4
miranda.csv,0.0,0.0,0.43,0.48,0.48,0.5,0.71,0.58,0.55,0.11,0.0,0.46,0.56,0.0,0.38,0.69,0.0,0.05,0.71
modplug.csv,0.55,0.64,0.55,0.58,0.65,0.64,0.68,0.59,0.59,0.3,0.65,0.74,0.68,0.35,0.44,0.64,0.58,0.49,0.54
monetdb.csv,0.39,0.37,0.1,0.34,0.0,0.17,0.68,0.29,0.42,0.31,0.36,0.45,0.62,0.09,0.2,0.49,0.2,0.17,0.44
nativeclient.csv,0.62,0.44,0.69,0.61,0.75,0.73,0.67,0.65,0.6,0.57,0.46,0.74,0.71,0.5,0.61,0.7,0.72,0.65,0.67
ogrehg.csv,0.28,0.58,0.57,0.51,0.24,0.69,0.69,0.71,0.5,0.65,0.7,0.55,0.69,0.4,0.68,0.58,0.1,0.23,0.3
passwordsafe.csv,0.53,0.43,0.49,0.64,0.45,0.68,0.66,0.47,0.35,0.66,0.49,0.76,0.49,0.17,0.48,0.73,0.51,0.27,0.56
quarkplayer.csv,0.46,0.3,0.38,0.37,0.28,0.36,0.18,0.2,0.49,0.78,0.26,0.13,0.37,0.36,0.52,0.29,0.36,0.44,0.34
reactos-mirror.csv,0.66,0.63,0.09,0.58,0.48,0.59,0.71,0.61,0.63,0.65,0.53,0.7,0.72,0.52,0.59,0.67,0.0,0.64,0.05
sandiaportals.csv,0.53,0.61,0.47,0.53,0.12,0.66,0.66,0.59,0.51,0.63,0.58,0.58,0.59,0.34,0.37,0.68,0.77,0.5,0.65
