,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,kvs.csv,ogrehg.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv,sandiaportals.csv,nativeclient.csv,miranda.csv
alpine.csv,0.45,0.62,0.48,0.48,0.33,0.56,0.51,0.34,0.48,0.07,0.82,0.63,0.67,0.21,0.12,0.57,0.0,0.74,0.8
badtrinity-zero.csv,0.44,0.11,0.48,0.66,0.28,0.6,0.51,0.15,0.58,0.12,0.03,0.71,0.47,0.31,0.22,0.57,0.82,0.27,0.81
boost.csv,0.45,0.47,0.56,0.57,0.27,0.53,0.48,0.12,0.61,0.12,0.69,0.62,0.59,0.57,0.22,0.46,0.61,0.54,0.73
critterding.csv,0.51,0.63,0.39,0.61,0.33,0.52,0.46,0.13,0.52,0.13,0.69,0.75,0.49,0.86,0.16,0.53,0.7,0.71,0.75
enzo.csv,0.51,0.51,0.5,0.61,0.35,0.53,0.45,0.14,0.53,0.12,0.77,0.79,0.48,0.87,0.18,0.54,0.8,0.67,0.74
etics.csv,0.51,0.61,0.65,0.5,0.19,0.57,0.53,0.2,0.45,0.16,0.69,0.67,0.6,0.55,0.13,0.55,0.68,0.3,0.73
fmri-dmt.csv,0.45,0.45,0.36,0.53,0.12,0.47,0.23,0.07,0.48,0.15,0.65,0.58,0.23,0.79,0.43,0.36,0.75,0.66,0.53
gusanos.csv,0.39,0.6,0.53,0.4,0.4,0.37,0.51,0.15,0.5,0.0,0.83,0.24,0.57,0.0,0.21,0.47,0.0,0.11,0.72
kftpgrabber.csv,0.05,0.49,0.25,0.38,0.14,0.38,0.53,0.33,0.43,0.11,0.68,0.51,0.72,0.16,0.1,0.45,0.0,0.18,0.76
kvs.csv,0.46,0.36,0.47,0.47,0.6,0.37,0.42,0.09,0.41,0.1,0.45,0.56,0.26,0.71,0.17,0.34,0.0,0.65,0.47
miranda.csv,0.01,0.0,0.43,0.53,0.27,0.49,0.56,0.15,0.47,0.11,0.0,0.54,0.5,0.0,0.29,0.58,0.85,0.08,0.76
modplug.csv,0.49,0.61,0.35,0.57,0.39,0.56,0.55,0.17,0.51,0.12,0.72,0.8,0.57,0.46,0.11,0.56,0.67,0.54,0.73
monetdb.csv,0.4,0.44,0.13,0.41,0.0,0.23,0.62,0.16,0.39,0.09,0.47,0.57,0.55,0.13,0.15,0.52,0.29,0.24,0.51
nativeclient.csv,0.56,0.44,0.51,0.61,0.45,0.64,0.53,0.18,0.52,0.12,0.55,0.8,0.6,0.61,0.18,0.58,0.79,0.69,0.76
ogrehg.csv,0.34,0.58,0.44,0.52,0.21,0.63,0.55,0.23,0.48,0.15,0.76,0.74,0.54,0.88,0.21,0.58,0.14,0.3,0.79
passwordsafe.csv,0.54,0.52,0.4,0.62,0.25,0.6,0.52,0.12,0.55,0.23,0.58,0.82,0.54,0.24,0.13,0.66,0.88,0.36,0.76
quarkplayer.csv,0.48,0.37,0.25,0.39,0.16,0.33,0.19,0.1,0.48,0.23,0.32,0.19,0.32,0.55,0.18,0.35,0.47,0.49,0.41
reactos-mirror.csv,0.63,0.59,0.39,0.57,0.27,0.55,0.56,0.17,0.56,0.15,0.73,0.77,0.57,0.72,0.17,0.59,0.85,0.68,0.8
sandiaportals.csv,0.49,0.58,0.37,0.54,0.13,0.58,0.53,0.21,0.48,0.14,0.73,0.67,0.5,0.45,0.15,0.65,0.84,0.57,0.75
