,project,f1,precision,recall,g-score,d2h,pci_20,ifa,pd,pf,buggyness
0,bzbyte.csv,0.17,1,0.09,0.11,0.91,0.2,3,0.09,0,0.76
1,freedom-erp.csv,0.8,0.69,0.95,0.74,0.57,0.21,9,0.95,0.57,0.580838323
2,twostep.csv,0.62,0.55,0.8,0.74,0.49,0.14,0,0.8,0.22,0.366197183
3,iaml.csv,0.65,0.57,0.68,0.44,0.82,0.18,1,0.68,0.62,0.571428571
4,etics.csv,0.55,0.38,1,0.8,0.56,0.09,0,1,0.5,0.236363636
5,neoengine.csv,0.59,0.45,0.86,0.61,0.7,0.22,12,0.86,0.7,0.375838926
6,nsis.csv,0.45,1,0.29,0.34,0.83,0.17,4,0.29,0,0.924731183
7,vdsf.csv,0.16,0.09,1,0,1,0.2,1,1,1,0.087163233
8,monetdb.csv,0,0,0,0,1,0.18,28,0,0,0.321917808
9,amygdala.csv,0.63,0.67,0.71,0.63,0.58,0.2,5,0.71,0.29,0.520547945
10,ikvm.csv,0.25,0.33,0.25,0.26,0.87,0.18,2,0.25,0.33,0.423076923
11,jicarilla.csv,0.75,0.67,1,0.8,0.4,0.15,7,1,0.38,0.471428571
12,metacosm.csv,0.33,0.5,0.2,0.24,0.8,0.18,3,0.2,0.17,0.465517241
13,mplayer-ce.csv,0.44,0.47,0.42,0.44,0.7,0.17,22,0.42,0.38,0.452229299
14,moviesandbox.csv,0.71,0.73,0.56,0.61,0.44,0.12,0,0.56,0.14,0.556962025
15,uwom.csv,0.81,0.76,0.78,0.81,0.22,0.18,129,0.78,0.08,0.219541616
16,geotools.csv,0.48,0.38,0.82,0.62,0.57,0.17,6,0.82,0.56,0.284280936
17,jrdf.csv,0.57,0.5,0.67,0.7,0.37,0.2,12,0.67,0.17,0.202702703
18,ng4j.csv,0.46,0.4,0.75,0.68,0.56,0.19,1,0.75,0.25,0.253164557
19,bloodycore.csv,0.26,0.15,0.93,0.52,0.81,0.2,78,0.93,0.79,0.152173913
20,jahshakafx.csv,0.6,0.46,0.85,0.77,0.45,0.19,6,0.85,0.4,0.303834808
21,jstock.csv,0.36,0.33,1,0.41,0.7,0.17,8,1,0.67,0.232142857
22,nassp.csv,0.44,0.29,0.67,0.65,0.56,0.18,9,0.67,0.56,0.206896552
23,soar.csv,0.22,0.33,0.14,0.17,0.92,0.18,10,0.14,0,0.553571429
24,xbplayer.csv,0.48,0.32,1,0.24,0.94,0.15,0,1,0.94,0.315789474
25,scite-ru.csv,0.4,0.29,0.75,0.48,0.75,0.19,11,0.75,0.6,0.287671233
26,mobicents.csv,0.6,0.57,0.68,0.58,0.65,0.2,0,0.68,0.35,0.512770138
27,jcache.csv,0.92,1,0.86,0.88,0.14,0.53,8,0.86,0,0.453333333
28,flylegacy.csv,0,0,0,0,1,0.18,15,0,0,0.741176471
29,mcmc-jags.csv,0.57,0.5,1,0.68,0.42,0.17,7,1,0.38,0.263157895
30,mcore3d.csv,0.33,0.83,0.21,0.25,0.8,0.2,8,0.21,0.09,0.679775281
31,gdis.csv,0.67,0.88,0.58,0.5,0.64,0.15,2,0.58,0.33,0.814285714
32,liferea.csv,0.33,0.25,0.5,0.5,0.71,0.2,6,0.5,0.44,0.228070175
