,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.57,0.52,0.94,0.69,0.55,0.53,0.5,0.33,0.34,0.52,0.61,0.65,0.75
avisynth2.csv,0.07,0.05,0.0,0.0,0.0,0.01,0.06,0.0,1.0,0.02,0.0,0.0,0.0
beast-mcmc.csv,0.97,0.46,0.43,0.5,0.34,0.7,0.54,0.72,0.68,0.48,0.3,0.44,0.38
dataobjectsdotnet.csv,0.34,0.45,0.18,0.53,0.2,0.4,0.39,0.2,0.0,0.97,0.21,0.27,0.07
exist.csv,0.65,0.43,0.21,0.0,0.4,0.98,0.47,0.52,0.37,0.45,0.54,0.31,0.33
foursquared.csv,0.43,0.07,0.02,0.0,0.05,0.2,0.2,1.0,0.0,0.15,0.02,0.11,0.27
jaxlib.csv,0.13,0.05,0.2,1.0,0.05,0.04,0.27,0.34,0.38,0.1,0.19,0.31,0.27
jrefactory.csv,0.42,1.0,0.37,0.46,0.34,0.5,0.42,0.45,0.0,0.59,0.31,0.36,0.46
nodal.csv,0.35,0.33,0.34,0.0,0.93,0.44,0.24,0.29,0.0,0.37,0.16,0.5,0.1
opendvr.csv,0.29,0.67,0.57,0.0,0.36,0.54,0.47,0.43,0.45,0.54,0.58,0.85,0.33
pokenetonline.csv,0.72,0.34,0.21,0.24,0.61,0.59,0.99,0.67,0.82,0.47,0.47,0.11,0.34
simplewebservices.csv,0.58,0.35,0.61,0.0,0.64,0.57,0.51,0.44,0.0,0.41,0.98,0.37,0.61
uface.csv,0.42,0.5,0.29,0.17,0.42,0.68,0.39,0.47,0.13,0.47,0.62,0.17,1.0
