,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.49,0.36,0.63,0.31,0.33,0.46,0.43,0.62,0.57,0.43,0.42,0.62,0.4
avisynth2.csv,0.75,0.5,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.8,0.0,0.0,0.0
beast-mcmc.csv,0.69,0.5,0.64,0.48,0.78,0.44,0.48,0.38,0.63,0.54,0.9,0.59,0.62
dataobjectsdotnet.csv,0.98,0.62,0.94,0.69,0.83,0.75,0.7,0.88,0.89,0.66,0.97,0.71,0.97
exist.csv,0.51,0.45,0.62,0.52,0.82,0.45,0.47,0.45,0.71,0.49,0.46,0.52,0.73
foursquared.csv,0.97,0.8,0.67,0.88,0.8,0.96,0.93,0.58,0.0,0.97,0.8,0.88,0.88
jaxlib.csv,0.89,0.67,0.92,0.5,0.67,0.83,0.88,0.89,0.75,0.94,0.97,0.62,0.79
jrefactory.csv,0.71,0.55,0.86,0.34,0.76,0.55,0.6,0.61,0.86,0.63,0.71,0.8,0.64
nodal.csv,0.93,0.48,0.78,0.45,0.76,0.66,0.93,0.63,0.86,0.6,0.97,0.72,0.92
opendvr.csv,0.67,0.57,0.7,0.39,0.56,0.52,0.5,0.64,0.46,0.61,0.48,0.83,0.75
pokenetonline.csv,0.44,0.5,0.93,0.29,0.42,0.45,0.38,0.42,0.43,0.46,0.55,0.75,0.67
simplewebservices.csv,0.54,0.63,0.81,0.55,0.37,0.55,0.5,0.5,0.65,0.55,0.58,0.92,0.47
uface.csv,0.34,0.43,0.46,0.29,0.32,0.35,0.36,0.32,0.41,0.42,0.4,0.44,0.38
