,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.58,0.65,0.07,0.69,0.78,0.6,0.82,0.77,0.88,0.75,0.62,0.61,0.32
avisynth2.csv,0.94,0.96,1.0,1.0,1.0,0.99,0.95,1.0,0.0,0.98,1.0,1.0,1.0
beast-mcmc.csv,0.03,0.68,0.71,0.71,0.72,0.45,0.61,0.5,0.43,0.61,0.75,0.7,0.68
dataobjectsdotnet.csv,0.71,0.66,0.86,0.59,0.83,0.71,0.69,0.84,1.01,0.03,0.83,0.79,1.03
exist.csv,0.46,0.74,0.84,1.09,0.67,0.02,0.62,0.65,0.71,0.67,0.61,0.78,0.72
foursquared.csv,0.62,0.94,0.98,1.01,0.96,0.83,0.86,0.0,1.0,0.88,0.98,0.92,0.77
jaxlib.csv,0.89,0.96,0.83,0.0,0.96,0.97,0.77,0.71,0.67,0.92,0.85,0.74,0.77
jrefactory.csv,0.69,0.0,0.75,0.82,0.75,0.61,0.74,0.7,1.01,0.64,0.83,0.76,0.65
nodal.csv,0.71,0.8,0.72,1.1,0.09,0.63,0.81,0.8,1.01,0.71,0.88,0.57,0.92
opendvr.csv,0.88,0.54,0.57,1.25,0.88,0.75,0.84,0.77,0.87,0.75,0.71,0.18,0.88
pokenetonline.csv,0.43,0.81,0.82,1.04,0.57,0.57,0.04,0.47,0.52,0.67,0.61,0.91,0.71
simplewebservices.csv,0.56,0.78,0.46,1.08,0.61,0.53,0.75,0.75,1.08,0.73,0.02,0.69,0.46
uface.csv,0.87,0.81,0.93,0.96,0.89,0.67,0.89,0.85,0.97,0.85,0.7,0.96,0.0
