,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.36,0.62,0.98,0.06,0.27,0.67,0.68,0.33,0.03,0.41,0.47,0.36,0.89
avisynth2.csv,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6,0.0,0.0,0.0
beast-mcmc.csv,0.98,0.61,0.57,0.04,0.39,0.73,0.76,0.48,0.11,0.58,0.62,0.31,0.79
dataobjectsdotnet.csv,0.45,0.66,0.56,0.06,0.67,0.62,0.78,0.5,0.0,0.99,0.45,0.36,0.23
exist.csv,0.46,0.55,0.52,0.0,0.47,0.99,0.81,0.39,0.06,0.5,0.5,0.29,0.91
foursquared.csv,0.74,0.6,0.33,0.0,0.2,0.76,0.67,1.0,0.0,0.56,0.4,0.25,1.0
jaxlib.csv,0.78,0.67,0.83,1.0,0.33,0.5,0.88,0.78,0.25,0.71,0.53,0.46,0.86
jrefactory.csv,0.33,1.0,0.54,0.03,0.28,0.68,0.69,0.36,0.0,0.48,0.33,0.28,0.74
nodal.csv,0.47,0.52,0.67,0.0,1.0,0.76,0.8,0.32,0.0,0.53,0.45,0.56,0.75
opendvr.csv,0.17,0.68,0.66,0.0,0.18,0.56,0.65,0.3,0.04,0.43,0.43,1.0,0.53
pokenetonline.csv,0.45,0.5,0.79,0.02,0.35,0.66,0.98,0.52,0.09,0.49,0.57,0.5,0.94
simplewebservices.csv,0.38,0.53,0.81,0.0,0.33,0.73,0.69,0.31,0.0,0.44,0.99,0.58,0.86
uface.csv,0.29,0.53,0.53,0.04,0.23,0.65,0.71,0.38,0.05,0.41,0.45,0.3,1.0
